date,拼音,部门,value
2010-01-01,Anhui,生活废水,2371.544322711129
2010-01-01,Anhui,工业废水,1337.8724734171303
2010-01-01,Anhui,农业废水,830.8145833333334
2010-02-01,Anhui,生活废水,2371.544322711129
2010-02-01,Anhui,工业废水,1306.5260222283853
2010-02-01,Anhui,农业废水,830.8145833333334
2010-03-01,Anhui,生活废水,2371.544322711129
2010-03-01,Anhui,工业废水,1322.0232765448695
2010-03-01,Anhui,农业废水,830.8145833333334
2010-04-01,Anhui,生活废水,2371.544322711129
2010-04-01,Anhui,工业废水,1261.1123377660008
2010-04-01,Anhui,农业废水,830.8145833333334
2010-05-01,Anhui,生活废水,2371.544322711129
2010-05-01,Anhui,工业废水,1253.790242576177
2010-05-01,Anhui,农业废水,830.8145833333334
2010-06-01,Anhui,生活废水,2371.544322711129
2010-06-01,Anhui,工业废水,1244.7454781318636
2010-06-01,Anhui,农业废水,830.8145833333334
2010-07-01,Anhui,生活废水,2371.544322711129
2010-07-01,Anhui,工业废水,1240.6961692547943
2010-07-01,Anhui,农业废水,830.8145833333334
2010-08-01,Anhui,生活废水,2371.544322711129
2010-08-01,Anhui,工业废水,1247.362919052411
2010-08-01,Anhui,农业废水,830.8145833333334
2010-09-01,Anhui,生活废水,2371.544322711129
2010-09-01,Anhui,工业废水,1241.2404175674876
2010-09-01,Anhui,农业废水,830.8145833333334
2010-10-01,Anhui,生活废水,2371.544322711129
2010-10-01,Anhui,工业废水,1248.447152480101
2010-10-01,Anhui,农业废水,830.8145833333334
2010-11-01,Anhui,生活废水,2371.544322711129
2010-11-01,Anhui,工业废水,1267.6550214780293
2010-11-01,Anhui,农业废水,830.8145833333334
2010-12-01,Anhui,生活废水,2371.544322711129
2010-12-01,Anhui,工业废水,1342.8311372975445
2010-12-01,Anhui,农业废水,830.8145833333334
2010-01-01,Beijing,生活废水,1769.341780619534
2010-01-01,Beijing,工业废水,120.3027270589798
2010-01-01,Beijing,农业废水,170.1916666666667
2010-02-01,Beijing,生活废水,1769.341780619534
2010-02-01,Beijing,工业废水,117.48402524953502
2010-02-01,Beijing,农业废水,170.1916666666667
2010-03-01,Beijing,生活废水,1769.341780619534
2010-03-01,Beijing,工业废水,118.87755265460804
2010-03-01,Beijing,农业废水,170.1916666666667
2010-04-01,Beijing,生活废水,1769.341780619534
2010-04-01,Beijing,工业废水,113.40038484645046
