date,province,sum
2010,Anhui,48718.621049999994
2010,Beijing,4380.823349999999
2010,Chongqing,14726.605500000001
2010,Fujian,92837.0913
2010,Gansu,6286.9974
2010,Guangdong,87011.53455
2010,Guangxi,103063.80329999999
2010,Guizhou,6804.8766
2010,Hainan,10509.7227
2010,Hebei,85496.10690000001
2010,Heilongjiang,44336.04495
2010,Henan,122619.23504999999
2010,Hubei,44255.652149999994
2010,Hunan,53638.00605
2010,Inner Mongolia,43264.4136
2010,Jiangsu,148923.80594999998
2010,Jiangxi,16572.71865
2010,Jilin,26929.250999999997
2010,Liaoning,41577.099599999994
2010,Ningxia,28581.626849999997
2010,Qinghai,719.6791499999999
2010,Shaanxi,28548.558299999997
2010,Shandong,270791.57865
2010,Shanghai,30406.59015
2010,Shanxi,18103.45365
2010,Sichuan,38172.674849999996
2010,Tianjin,6120.369299999999
2010,Tibet,4.790849999999999
2010,Xinjiang,19422.807
2010,Yunnan,36355.65735
2010,Zhejiang,174697.29360000003
2011,Anhui,34126.01562255658
2011,Beijing,65583.50161998328
2011,Chongqing,31270.866889988174
2011,Fujian,47178.41439509811
2011,Gansu,11052.047169326459
2011,Guangdong,167135.57140374565
2011,Guangxi,20997.892265270933
2011,Guizhou,11035.469716628675
2011,Hainan,9997.643285732554
2011,Hebei,113349.49273480882
2011,Heilongjiang,22968.08611235244
2011,Henan,87474.03637393293
2011,Hubei,38686.49148606884
2011,Hunan,34476.52968879169
2011,Inner Mongolia,27938.76503163984
2011,Jiangsu,148429.38074283188
2011,Jiangxi,20623.502603219807
2011,Jilin,28531.743393257584
2011,Liaoning,57845.0823550794
2011,Ningxia,7198.71226813518
2011,Qinghai,3492.81340436946
2011,Shaanxi,29853.24915515064
2011,Shandong,249065.32190217316
2011,Shanghai,87925.11580438883
2011,Shanxi,36469.09209053486
2011,Sichuan,46608.82057094271
2011,Tianjin,39201.52703382764
2011,Tibet,90.18540660715826
2011,Xinjiang,21242.253061881507
2011,Yunnan,22934.355483369814
2011,Zhejiang,195750.1851274455
2012,Anhui,38161.353678312014
2012,Beijing,73232.61564461669
2012,Chongqing,34262.16983008904
2012,Fujian,46327.14086801134
2012,Gansu,13261.598922939349
2012,Guangdong,159997.66785243558
2012,Guangxi,23086.398555171196
2012,Guizhou,15352.685389035581
2012,Hainan,8219.838989716607
2012,Hebei,106084.09476203841
2012,Heilongjiang,26307.399097698926
2012,Henan,96092.52762717145
2012,Hubei,42612.54323609421
2012,Hunan,39164.76680086178
2012,Inner Mongolia,30903.19764312177
2012,Jiangsu,158791.78172459442
2012,Jiangxi,21774.706369172818
2012,Jilin,28378.862854280072
2012,Liaoning,59982.31722394795
2012,Ningxia,7485.0170220385335
2012,Qinghai,4005.4664335843804
2012,Shaanxi,33337.46879037297
2012,Shandong,173645.96860156895
2012,Shanghai,96850.56327722473
2012,Shanxi,40710.025392224445
2012,Sichuan,51844.457932179466
2012,Tianjin,38816.22118865975
2012,Tibet,227.37155170991613
2012,Xinjiang,25110.311704306423
2012,Yunnan,27441.431730680844
2012,Zhejiang,202660.2124073115
2013,Anhui,44554.47124988974
2013,Beijing,70637.3407065905
2013,Chongqing,38209.07256454241
2013,Fujian,55137.8732906979
2013,Gansu,15576.214804342158
2013,Guangdong,178843.8341866981
2013,Guangxi,24161.539424016188
2013,Guizhou,17339.057015898485
2013,Hainan,8158.766536520581
2013,Hebei,107022.72866632059
2013,Heilongjiang,29465.59078892087
2013,Henan,102685.64148945129
2013,Hubei,48526.25606833752
2013,Hunan,41586.88351882854
2013,Inner Mongolia,38711.91510489238
2013,Jiangsu,170493.08344624043
2013,Jiangxi,23608.964840483062
2013,Jilin,28476.124835336203
2013,Liaoning,64835.27451297463
2013,Ningxia,9420.981664437903
2013,Qinghai,4295.95242838537
2013,Shaanxi,36158.84924440573
2013,Shandong,184118.27448466758
2013,Shanghai,99784.28599409213
2013,Shanxi,37203.70161576419
2013,Sichuan,57641.80230532668
2013,Tianjin,42752.858545891744
2013,Tibet,220.88434073372355
2013,Xinjiang,25564.667518705483
2013,Yunnan,28873.038785036395
