province,date,Edomdf
Anhui,2010,470.30158064798155
Anhui,2011,336.5869704498119
Anhui,2012,220.05285353018016
Anhui,2013,210.00891473823248
Anhui,2014,169.80900857333637
Anhui,2015,144.3173253549468
Anhui,2016,110.91128537937155
Anhui,2017,75.40612441517119
Anhui,2018,70.10153894713565
Anhui,2019,96.30546735480955
Anhui,2020,72.27063061337358
Anhui,2021,72.2706306133731
Anhui,2022,72.2706306133731
Beijing,2010,24.805589229458363
Beijing,2011,24.777220745798395
Beijing,2012,26.072566050392364
Beijing,2013,34.65736190883192
Beijing,2014,29.85142437579971
Beijing,2015,45.101794397447414
Beijing,2016,24.223012549362437
Beijing,2017,16.75324263758354
Beijing,2018,22.146858877868418
Beijing,2019,20.102736345408587
Beijing,2020,17.025934052908877
Beijing,2021,17.02593405290877
Beijing,2022,17.02593405290877
Chongqing,2010,19.579117990351428
Chongqing,2011,30.49998164006018
Chongqing,2012,23.830332501499026
Chongqing,2013,22.714574535830387
Chongqing,2014,23.304801829241747
Chongqing,2015,28.616448102563318
Chongqing,2016,6.574296402957189
Chongqing,2017,3.3626324853503378
Chongqing,2018,0.8534941361618507
Chongqing,2019,0.8553664489312208
Chongqing,2020,7.122142594870464
Chongqing,2021,7.122142594869872
Chongqing,2022,7.122142594869872
Fujian,2010,246.6855829986554
Fujian,2011,141.5707743335029
Fujian,2012,120.7224233374852
Fujian,2013,122.06541720673619
Fujian,2014,161.36224695083808
Fujian,2015,65.59771859106696
Fujian,2016,24.110189131013385
Fujian,2017,72.0010185518881
Fujian,2018,32.31116580867551
Fujian,2019,57.02023787806223
Fujian,2020,196.99557754610032
Fujian,2021,196.99557754609924
Fujian,2022,196.99557754609924
Gansu,2010,25.677170006407614
Gansu,2011,68.17351315850291
Gansu,2012,68.38502796350153
Gansu,2013,68.81072194847714
Gansu,2014,59.27086188609922
Gansu,2015,68.7164158236634
Gansu,2016,0.0
Gansu,2017,0.0
Gansu,2018,0.26875918085706735
Gansu,2019,0.0
Gansu,2020,0.0
Gansu,2021,0.0
Gansu,2022,0.0
Guangdong,2010,1643.397098790747
Guangdong,2011,252.81358230289962
Guangdong,2012,23.879330858632734
Guangdong,2013,22.703698611202757
