date,province,Edomc
2016,Hunan,69106.9069028258
2017,Hunan,72044.46184685349
2018,Hunan,74214.5012479525
2019,Hunan,75535.84879448407
2020,Hunan,62797.83421008005
2021,Hunan,62797.83421008005
2022,Hunan,62797.83421008005
2010,Inner Mongolia,24613.53551098215
2011,Inner Mongolia,24347.63727016536
2012,Inner Mongolia,24427.36145171378
2013,Inner Mongolia,24676.593298452997
2014,Inner Mongolia,25370.455676669855
2015,Inner Mongolia,25872.617360196604
2016,Inner Mongolia,30305.345413210558
2017,Inner Mongolia,31171.31907213456
2018,Inner Mongolia,31849.81786807365
2019,Inner Mongolia,32370.967207529797
2020,Inner Mongolia,29132.05777875361
2021,Inner Mongolia,29132.057778753602
2022,Inner Mongolia,29132.057778753602
2010,Jiangsu,80486.55184656226
2011,Jiangsu,79990.16802161674
2012,Jiangsu,80063.33669133592
2013,Jiangsu,80097.43629925241
2014,Jiangsu,82421.5011743881
2015,Jiangsu,84669.51823223446
2016,Jiangsu,91703.4326404183
2017,Jiangsu,92167.14667726272
2018,Jiangsu,93722.70207262968
2019,Jiangsu,95395.88340641832
2020,Jiangsu,100264.71171237717
2021,Jiangsu,100264.71171237717
2022,Jiangsu,100264.71171237717
2010,Jiangxi,37141.80658205687
2011,Jiangxi,36092.74747185076
2012,Jiangxi,35889.55813020233
2013,Jiangxi,36068.847626538976
2014,Jiangxi,37161.704968262544
2015,Jiangxi,37989.1267149432
2016,Jiangxi,45386.2333969002
2017,Jiangxi,46257.34204556338
2018,Jiangxi,47377.55174809776
2019,Jiangxi,48030.34104547895
2020,Jiangxi,43191.30679520711
2021,Jiangxi,43191.30679520712
2022,Jiangxi,43191.30679520712
2010,Jilin,25407.80645155078
2011,Jilin,24599.2438412057
2012,Jilin,24950.3985315684
2013,Jilin,24878.61147835668
2014,Jilin,25025.00554625764
2015,Jilin,25296.493597469416
2016,Jilin,30139.371170536328
2017,Jilin,30257.451801525698
2018,Jilin,30423.566193074996
2019,Jilin,30805.836062497303
2020,Jilin,25153.6394199948
2021,Jilin,25153.6394199948
2022,Jilin,25153.6394199948
2010,Liaoning,47298.805714487244
2011,Liaoning,46015.56151463376
2012,Liaoning,45880.83908627643
2013,Liaoning,46008.64374148768
2014,Liaoning,47124.53980035081
2015,Liaoning,47904.17541969788
2016,Liaoning,55055.2289469579
2017,Liaoning,54534.398486460464
2018,Liaoning,55541.71435717739
2019,Liaoning,55554.11151394124
2020,Liaoning,53819.953591748475
2021,Liaoning,53819.953591748475
2022,Liaoning,53819.953591748475
2010,Ningxia,6724.563143620756
2011,Ningxia,6625.433078264157
2012,Ningxia,6590.1952809686
2013,Ningxia,6593.98022160185
2014,Ningxia,6841.479855320068
2015,Ningxia,6311.761646625724
2016,Ningxia,6858.534559060951
2017,Ningxia,7200.113845704909
2018,Ningxia,7494.599284885933
2019,Ningxia,7869.236510520119
2020,Ningxia,7892.189313056099
2021,Ningxia,7892.189313056099
2022,Ningxia,7892.189313056099
2010,Qinghai,5246.08360538568
2011,Qinghai,4991.144041346809
2012,Qinghai,5038.624648099627
2013,Qinghai,5031.549761889281
2014,Qinghai,5175.825216329789
2015,Qinghai,5274.4022406082795
2016,Qinghai,5781.220849656864
2017,Qinghai,6138.800144035468
2018,Qinghai,6236.590199978364
2019,Qinghai,6386.543346814402
2020,Qinghai,4738.562838352927
2021,Qinghai,4738.562838352926
2022,Qinghai,4738.562838352926
2010,Shaanxi,34026.58093904636
2011,Shaanxi,32630.5539202471
2012,Shaanxi,32424.432009581193
2013,Shaanxi,32588.272981392467
2014,Shaanxi,33773.86373090696
2015,Shaanxi,35714.208741486116
2016,Shaanxi,40972.34852119331
2017,Shaanxi,42088.32835847416
2018,Shaanxi,43380.90193911668
2019,Shaanxi,44583.536187991835
2020,Shaanxi,39220.19393416572
2021,Shaanxi,39220.19393416572
2022,Shaanxi,39220.19393416572
2010,Shandong,87549.62679396107
2011,Shandong,87177.1335794959
2012,Shandong,87715.55628772611
2013,Shandong,88268.23965735783
2014,Shandong,93038.01955436557
2015,Shandong,95080.041295661
2016,Shandong,106532.01706244564
2017,Shandong,110069.77710468264
2018,Shandong,111689.30722115828
2019,Shandong,112786.56917717253
2020,Shandong,103380.27026337567
2021,Shandong,103380.27026337567
2022,Shandong,103380.27026337567
2010,Shanghai,35473.417517272144
2011,Shanghai,35334.16351250641
2012,Shanghai,34737.87816564444
2013,Shanghai,35518.922600821905
2014,Shanghai,35608.05323524571
2015,Shanghai,36549.48713572154
2016,Shanghai,41116.436734921816
2017,Shanghai,41686.874222498154
2018,Shanghai,42194.73834308243
2019,Shanghai,42702.27050904377
2020,Shanghai,43506.102643592356
2021,Shanghai,43506.10264359236
2022,Shanghai,43506.10264359236
2010,Shanxi,33911.22089277068
2011,Shanxi,33771.90201712931
2012,Shanxi,33694.23156273036
2013,Shanxi,33663.71031324706
2014,Shanxi,34887.43058187058
2015,Shanxi,36589.66353304762
2016,Shanxi,40442.91484117729
2017,Shanxi,41796.917988731846
2018,Shanxi,42484.63584715164
2019,Shanxi,43647.74264812734
2020,Shanxi,37622.18266005374
2021,Shanxi,37622.18266005374
2022,Shanxi,37622.18266005374
2010,Sichuan,69357.16688746237
2011,Sichuan,68814.0293309976
2012,Sichuan,68056.96557942584
2013,Sichuan,68845.85768672572
2014,Sichuan,70671.60474876384
2015,Sichuan,72534.1812247672
2016,Sichuan,85867.37241988094
2017,Sichuan,88818.340289614
2018,Sichuan,91279.70272750036
2019,Sichuan,93975.06302206006
2020,Sichuan,75927.26144933287
2021,Sichuan,75927.26144933287
2022,Sichuan,75927.26144933287
2010,Tianjin,21652.7300877863
2011,Tianjin,21137.056906587033
2012,Tianjin,21496.173773622457
2013,Tianjin,21606.380270264875
2014,Tianjin,22471.825785611793
2015,Tianjin,23189.07289061623
2016,Tianjin,26724.17125872908
2017,Tianjin,26672.05467319724
2018,Tianjin,26886.410767204932
2019,Tianjin,27148.743683770852
2020,Tianjin,23703.573155090948
2021,Tianjin,23703.573155090944
2022,Tianjin,23703.573155090944
2010,Tibet,1550.8907996189953
2011,Tibet,1550.890799618995
2012,Tibet,1550.8975016515503
2013,Tibet,1550.8948680615217
2014,Tibet,1655.2149006592858
2015,Tibet,1792.1585643445
2016,Tibet,1678.5888366622323
2017,Tibet,1818.7517442688195
2018,Tibet,1908.8566265411234
2019,Tibet,1946.5692154988624
2020,Tibet,1852.9211901621966
2021,Tibet,1852.9211901621966
2022,Tibet,1852.9211901621966
2010,Xinjiang,17934.98313189869
2011,Xinjiang,17797.969203219895
2012,Xinjiang,17711.800736376535
2013,Xinjiang,17625.021780337618
2014,Xinjiang,18695.10544558289
2015,Xinjiang,19379.18978319699
2016,Xinjiang,19704.984894295816
2017,Xinjiang,20924.535870275777
2018,Xinjiang,22041.16497032612
2019,Xinjiang,22900.61419029026
2020,Xinjiang,21633.305492726275
2021,Xinjiang,21633.30549272627
2022,Xinjiang,21633.30549272627
2010,Yunnan,34236.99276614285
2011,Yunnan,34335.31819953681
2012,Yunnan,34181.48122700715
2013,Yunnan,34082.06195235711
2014,Yunnan,36086.72012309725
2015,Yunnan,37671.11622286541
2016,Yunnan,45657.52613995634
2017,Yunnan,47566.170084880825
2018,Yunnan,49015.64686339503
2019,Yunnan,50317.28713793032
2020,Yunnan,42721.18775715962
2021,Yunnan,42721.187757159605
2022,Yunnan,42721.187757159605
2010,Zhejiang,54529.46819993089
2011,Zhejiang,53802.787330867926
2012,Zhejiang,53910.06743197309
2013,Zhejiang,54098.15273362474
2014,Zhejiang,55701.03585768936
2015,Zhejiang,57333.62880610986
2016,Zhejiang,65761.29348515219
2017,Zhejiang,67843.49478596066
2018,Zhejiang,70031.33084427343
2019,Zhejiang,72975.80916188308
2020,Zhejiang,71088.5885765842
2021,Zhejiang,71088.5885765842
2022,Zhejiang,71088.5885765842
