date,province,Edomc
2010,Anhui,50887.69143979193
2011,Anhui,49610.36633054158
2012,Anhui,48673.81342648625
2013,Anhui,48466.10015235746
2014,Anhui,50410.783567004735
2015,Anhui,52230.16855749299
2016,Anhui,59798.2598404483
2017,Anhui,61753.44012354557
2018,Anhui,62885.794646074275
2019,Anhui,64891.515366393185
2020,Anhui,55933.34741226156
2021,Anhui,55933.34741226155
2022,Anhui,55933.34741226155
2010,Beijing,38558.71959673626
2011,Beijing,38589.366930073586
2012,Beijing,38699.942052278035
2013,Beijing,39004.681021893
2014,Beijing,39859.27590369623
2015,Beijing,40372.403440139366
2016,Beijing,43306.486586938154
2017,Beijing,43887.38957035685
2018,Beijing,42671.97875525859
2019,Beijing,42871.40962868806
2020,Beijing,44018.434130756366
2021,Beijing,44018.434130756366
2022,Beijing,44018.434130756366
2010,Chongqing,28945.4214382309
2011,Chongqing,28679.782427795715
2012,Chongqing,29201.03990058984
2013,Chongqing,29255.160519878682
2014,Chongqing,30752.388584065797
2015,Chongqing,31671.496992732205
2016,Chongqing,40827.0621544084
2017,Chongqing,42527.7367635284
2018,Chongqing,43900.481073483425
2019,Chongqing,45133.681847666885
2020,Chongqing,42794.732023419376
2021,Chongqing,42794.732023419376
2022,Chongqing,42794.732023419376
2010,Fujian,34401.98891510612
2011,Fujian,33745.29830449564
2012,Fujian,33709.6613881037
2013,Fujian,33667.567819473625
2014,Fujian,34707.588606749116
2015,Fujian,35461.14791445348
2016,Fujian,41739.39687445931
2017,Fujian,42181.553662692466
2018,Fujian,42539.36823417205
2019,Fujian,44057.87006054232
2020,Fujian,37597.90281642537
2021,Fujian,37597.90281642537
2022,Fujian,37597.90281642537
2010,Gansu,18984.800268520048
2011,Gansu,19003.52804519972
2012,Gansu,18751.345854011055
2013,Gansu,18595.60649290354
2014,Gansu,19184.19179041772
2015,Gansu,19666.738480953405
2016,Gansu,22831.173673605073
2017,Gansu,24045.544463144248
2018,Gansu,24796.011348700336
2019,Gansu,25464.58466553373
2020,Gansu,23491.883722976007
2021,Gansu,23491.88372297601
2022,Gansu,23491.88372297601
2010,Guangdong,120735.06790050358
2011,Guangdong,118503.95109218081
2012,Guangdong,115096.62763544144
2013,Guangdong,115419.79120141664
2014,Guangdong,120508.9017054722
2015,Guangdong,123663.08346766552
2016,Guangdong,141661.18654046438
2017,Guangdong,143790.10825768614
2018,Guangdong,148895.63749613863
2019,Guangdong,152505.20069298774
2020,Guangdong,156201.54443895456
2021,Guangdong,156201.54443895456
2022,Guangdong,156201.54443895456
2010,Guangxi,40747.7043964684
2011,Guangxi,39933.75255729497
2012,Guangxi,39118.92029100405
2013,Guangxi,38942.499902284246
2014,Guangxi,40105.36796703612
2015,Guangxi,40712.36008825441
2016,Guangxi,44598.93764177968
2017,Guangxi,44843.46394368946
2018,Guangxi,45336.47686458613
2019,Guangxi,45352.21137929941
2020,Guangxi,37871.04285141361
2021,Guangxi,37871.04285141361
2022,Guangxi,37871.04285141361
2010,Guizhou,24176.672963569144
2011,Guizhou,23914.272702411756
2012,Guizhou,24300.68115437007
2013,Guizhou,24367.021100653754
2014,Guizhou,25828.27100125548
2015,Guizhou,27277.926863491524
2016,Guizhou,31969.704459104716
2017,Guizhou,33279.424244987036
2018,Guizhou,34378.43563524554
2019,Guizhou,35571.04196199749
2020,Guizhou,36031.42495163533
2021,Guizhou,36031.42495163533
2022,Guizhou,36031.42495163533
2010,Hainan,8718.77599861425
2011,Hainan,8004.5446101217485
2012,Hainan,7886.192383370083
2013,Hainan,7925.858105564699
2014,Hainan,8224.532938712378
2015,Hainan,8567.283220937388
2016,Hainan,10054.276682392316
2017,Hainan,10108.872529509597
2018,Hainan,10416.36466787796
2019,Hainan,10644.934854088802
2020,Hainan,9516.53893258674
2021,Hainan,9516.53893258674
2022,Hainan,9516.53893258674
2010,Hebei,65113.49407184358
2011,Hebei,65023.58586921516
2012,Hebei,65428.88818907179
2013,Hebei,65312.25373940655
2014,Hebei,68616.1710357903
2015,Hebei,70877.58264816955
2016,Hebei,76992.15488740444
2017,Hebei,76787.90670980292
2018,Hebei,80067.59355055031
2019,Hebei,82266.15361753495
2020,Hebei,77046.13613750596
2021,Hebei,77046.13613750594
2022,Hebei,77046.13613750594
2010,Heilongjiang,39871.45581432551
2011,Heilongjiang,38604.76447157668
2012,Heilongjiang,37789.918332204186
2013,Heilongjiang,38186.0747437055
2014,Heilongjiang,38575.87314984999
2015,Heilongjiang,38589.59798369914
2016,Heilongjiang,41980.73493139892
2017,Heilongjiang,42410.20967427656
2018,Heilongjiang,42846.128137997985
2019,Heilongjiang,42608.78403657875
2020,Heilongjiang,35693.73817884018
2021,Heilongjiang,35693.73817884018
2022,Heilongjiang,35693.73817884018
2010,Henan,80762.13606710148
2011,Henan,80494.08095175878
2012,Henan,80915.11270030808
2013,Henan,80742.26891577909
2014,Henan,84273.04155158157
2015,Henan,87365.95615571932
2016,Henan,95452.82139816287
2017,Henan,98493.58764305316
2018,Henan,102478.84750944884
2019,Henan,106551.86310356205
2020,Henan,98832.81101412003
2021,Henan,98832.81101412003
2022,Henan,98832.81101412003
2010,Hubei,54928.77689248655
2011,Hubei,53095.2240337584
2012,Hubei,52775.56966623111
2013,Hubei,51982.06791695652
2014,Hubei,53615.70049219209
2015,Hubei,55184.08155867093
2016,Hubei,63275.11481625433
2017,Hubei,64323.85497193109
2018,Hubei,66297.09643037412
2019,Hubei,67813.461225353
2020,Hubei,58775.503101832044
2021,Hubei,58775.50310183205
2022,Hubei,58775.50310183205
2010,Hunan,58308.52610087324
2011,Hunan,57102.67990164737
2012,Hunan,55304.600691145795
2013,Hunan,54172.40742076182
2014,Hunan,56444.73255179852
2015,Hunan,57314.391109292104
