date,province,dom,ru,DCODdomu,DCODdomr,Rdom,BOD/COD,EFdomc,Edomd
2010,Anhui,450509.0,47.86,215613.60739999998,234895.39260000005,0.885,0.45460500000000004,0.0587,6929.934612695098
2011,Anhui,450509.0,47.85999999999999,215613.60739999998,234895.39260000005,0.9109999999999999,0.45460500000000004,0.0587,6780.33797827839
2012,Anhui,440215.0,47.86000000000001,210686.89900000003,229528.10099999994,0.945,0.45460500000000004,0.0587,6434.252859503344
2013,Anhui,436388.0,47.86,208855.2968,227532.70320000005,0.9620000000000002,0.45460500000000004,0.0587,6283.569541101709
2014,Anhui,432220.0,49.31666666666667,213156.49666666667,219063.5033333333,0.9620000000000002,0.45460500000000004,0.0587,6061.927884506539
2015,Anhui,427176.0,50.62,216236.49119999996,210939.5088,0.9670000000000002,0.45460500000000004,0.0587,5819.408094271805
2016,Anhui,282284.0,52.0,146787.68,135496.32,0.9740000000000001,0.45460500000000004,0.0587,3717.6057340235
2017,Anhui,288048.0,53.5,154105.68,133942.31999999998,0.9729999999999999,0.45460500000000004,0.0587,3685.3264764564483
2018,Anhui,310999.0,54.7,170116.453,140882.547,0.9770000000000002,0.45460500000000004,0.0587,3863.9059836091833
2019,Anhui,310541.0,55.8,173281.878,137259.12200000003,0.971,0.45460500000000004,0.0587,3796.9010572154125
2020,Anhui,493554.0,58.3,287741.982,205812.018,0.9740000000000001,0.45460500000000004,0.0587,5691.798832313958
2021,Anhui,493554.0,58.3,287741.982,205812.018,0.9740000000000001,0.45460500000000004,0.0587,5691.798832313958
2022,Anhui,493554.0,58.3,287741.982,205812.018,0.9740000000000001,0.45460500000000004,0.0587,5691.798832313958
2010,Beijing,99097.0,86.29999999999998,85520.71099999998,13576.289000000012,0.821,0.5087472115384615,0.0587,862.5910369992001
2011,Beijing,99097.0,86.3,85520.711,13576.289,0.8170000000000002,0.5087472115384615,0.0587,872.806814778308
2012,Beijing,95661.0,86.3,82555.443,13105.557,0.8320000000000002,0.5087472115384615,0.0587,805.5630293099722
2013,Beijing,89868.0,86.29999999999998,77556.08399999999,12311.91600000001,0.846,0.5087472115384615,0.0587,724.3547668341453
2014,Beijing,82194.0,86.37037037037037,70991.26222222223,11202.737777777784,0.861,0.5087472115384615,0.0587,629.2387553149933
2015,Beijing,79396.0,86.43333333333334,68624.60933333334,10771.39066666666,0.884,0.5087472115384615,0.0587,559.3977389916058
2016,Beijing,40948.0,86.5,35420.02,5527.9800000000005,0.9059999999999999,0.5087472115384615,0.0587,264.5144702229075
2017,Beijing,29464.0,86.5,25486.36,3977.6400000000003,0.975,0.5087472115384615,0.0587,137.81387142365023
2018,Beijing,40562.0,86.5,35086.13,5475.870000000001,0.986,0.5087472115384615,0.0587,178.1975379280121
2019,Beijing,38233.0,86.6,33109.778,5123.222000000001,0.9929999999999999,0.5087472115384615,0.0587,159.9185500386734
2020,Beijing,40464.0,87.6,35446.464,5017.536000000005,0.966,0.5087472115384615,0.0587,185.83183186517647
2021,Beijing,40464.0,87.6,35446.464,5017.536000000005,0.966,0.5087472115384615,0.0587,185.83183186517647
2022,Beijing,40464.0,87.6,35446.464,5017.536000000005,0.966,0.5087472115384615,0.0587,185.83183186517647
2010,Chongqing,230769.0,58.34,134630.63460000002,96138.3654,0.9170000000000001,0.46685,0.0587,2940.807646706873
2011,Chongqing,230769.0,58.34,134630.63460000002,96138.3654,0.946,0.46685,0.0587,2833.8141563927024
