date,value,province,sector,department
2013-01-31,0.844004985475699,Shanghai,肠道,家畜
2013-02-28,0.7623270836554702,Shanghai,肠道,家畜
2013-03-31,0.844004985475699,Shanghai,肠道,家畜
2013-04-30,0.8167790182022894,Shanghai,肠道,家畜
2013-05-31,0.844004985475699,Shanghai,肠道,家畜
2013-06-30,0.8167790182022894,Shanghai,肠道,家畜
2013-07-31,0.844004985475699,Shanghai,肠道,家畜
2013-08-31,0.844004985475699,Shanghai,肠道,家畜
2013-09-30,0.8167790182022894,Shanghai,肠道,家畜
2013-10-31,0.844004985475699,Shanghai,肠道,家畜
2013-11-30,0.8167790182022894,Shanghai,肠道,家畜
2013-12-31,0.844004985475699,Shanghai,肠道,家畜
2014-01-31,0.8173929946581598,Shanghai,肠道,家畜
2014-02-28,0.7382904467880154,Shanghai,肠道,家畜
2014-03-31,0.8173929946581598,Shanghai,肠道,家畜
2014-04-30,0.7910254787014448,Shanghai,肠道,家畜
2014-05-31,0.8173929946581598,Shanghai,肠道,家畜
2014-06-30,0.7910254787014448,Shanghai,肠道,家畜
2014-07-31,0.8173929946581598,Shanghai,肠道,家畜
2014-08-31,0.8173929946581598,Shanghai,肠道,家畜
2014-09-30,0.7910254787014448,Shanghai,肠道,家畜
2014-10-31,0.8173929946581598,Shanghai,肠道,家畜
2014-11-30,0.7910254787014448,Shanghai,肠道,家畜
2014-12-31,0.8173929946581598,Shanghai,肠道,家畜
2015-01-31,0.7904501580033778,Shanghai,肠道,家畜
2015-02-28,0.7139549814224058,Shanghai,肠道,家畜
2015-03-31,0.7904501580033778,Shanghai,肠道,家畜
2015-04-30,0.7649517658097205,Shanghai,肠道,家畜
2015-05-31,0.7904501580033778,Shanghai,肠道,家畜
2015-06-30,0.7649517658097205,Shanghai,肠道,家畜
2015-07-31,0.7904501580033778,Shanghai,肠道,家畜
2015-08-31,0.7904501580033778,Shanghai,肠道,家畜
2015-09-30,0.7649517658097205,Shanghai,肠道,家畜
2015-10-31,0.7904501580033778,Shanghai,肠道,家畜
2015-11-30,0.7649517658097205,Shanghai,肠道,家畜
2015-12-31,0.7904501580033778,Shanghai,肠道,家畜
2016-01-31,0.6820797342864985,Shanghai,肠道,家畜
2016-02-29,0.6380745901389824,Shanghai,肠道,家畜
2016-03-31,0.6820797342864985,Shanghai,肠道,家畜
2016-04-30,0.6600771622127404,Shanghai,肠道,家畜
2016-05-31,0.6820797342864985,Shanghai,肠道,家畜
2016-06-30,0.6600771622127404,Shanghai,肠道,家畜
2016-07-31,0.6820797342864985,Shanghai,肠道,家畜
2016-08-31,0.6820797342864985,Shanghai,肠道,家畜
2016-09-30,0.6600771622127404,Shanghai,肠道,家畜
