date,value,province,sector,department
2013-01-01,0.0,Beijing,原油,Oil and natural gas system
2013-02-01,0.0,Beijing,原油,Oil and natural gas system
2013-03-01,0.0,Beijing,原油,Oil and natural gas system
2013-04-01,0.0,Beijing,原油,Oil and natural gas system
2013-05-01,0.0,Beijing,原油,Oil and natural gas system
2013-06-01,0.0,Beijing,原油,Oil and natural gas system
2013-07-01,0.0,Beijing,原油,Oil and natural gas system
2013-08-01,0.0,Beijing,原油,Oil and natural gas system
2013-09-01,0.0,Beijing,原油,Oil and natural gas system
2013-10-01,0.0,Beijing,原油,Oil and natural gas system
2013-11-01,0.0,Beijing,原油,Oil and natural gas system
2013-12-01,0.0,Beijing,原油,Oil and natural gas system
2014-01-01,0.0,Beijing,原油,Oil and natural gas system
2014-02-01,0.0,Beijing,原油,Oil and natural gas system
2014-03-01,0.0,Beijing,原油,Oil and natural gas system
2014-04-01,0.0,Beijing,原油,Oil and natural gas system
2014-05-01,0.0,Beijing,原油,Oil and natural gas system
2014-06-01,0.0,Beijing,原油,Oil and natural gas system
2014-07-01,0.0,Beijing,原油,Oil and natural gas system
2014-08-01,0.0,Beijing,原油,Oil and natural gas system
2014-09-01,0.0,Beijing,原油,Oil and natural gas system
2014-10-01,0.0,Beijing,原油,Oil and natural gas system
2014-11-01,0.0,Beijing,原油,Oil and natural gas system
2014-12-01,0.0,Beijing,原油,Oil and natural gas system
2015-01-01,0.0,Beijing,原油,Oil and natural gas system
2015-02-01,0.0,Beijing,原油,Oil and natural gas system
2015-03-01,0.0,Beijing,原油,Oil and natural gas system
2015-04-01,0.0,Beijing,原油,Oil and natural gas system
2015-05-01,0.0,Beijing,原油,Oil and natural gas system
2015-06-01,0.0,Beijing,原油,Oil and natural gas system
2015-07-01,0.0,Beijing,原油,Oil and natural gas system
2015-08-01,0.0,Beijing,原油,Oil and natural gas system
2015-09-01,0.0,Beijing,原油,Oil and natural gas system
2015-10-01,0.0,Beijing,原油,Oil and natural gas system
2015-11-01,0.0,Beijing,原油,Oil and natural gas system
2015-12-01,0.0,Beijing,原油,Oil and natural gas system
2016-01-01,0.0,Beijing,原油,Oil and natural gas system
2016-02-01,0.0,Beijing,原油,Oil and natural gas system
2016-03-01,0.0,Beijing,原油,Oil and natural gas system
2016-04-01,0.0,Beijing,原油,Oil and natural gas system
2016-05-01,0.0,Beijing,原油,Oil and natural gas system
2016-06-01,0.0,Beijing,原油,Oil and natural gas system
2016-07-01,0.0,Beijing,原油,Oil and natural gas system
2016-08-01,0.0,Beijing,原油,Oil and natural gas system
2016-09-01,0.0,Beijing,原油,Oil and natural gas system
2016-10-01,0.0,Beijing,原油,Oil and natural gas system
2016-11-01,0.0,Beijing,原油,Oil and natural gas system
2016-12-01,0.0,Beijing,原油,Oil and natural gas system
2017-01-01,0.0,Beijing,原油,Oil and natural gas system
2017-02-01,0.0,Beijing,原油,Oil and natural gas system
2017-03-01,0.0,Beijing,原油,Oil and natural gas system
2017-04-01,0.0,Beijing,原油,Oil and natural gas system
2017-05-01,0.0,Beijing,原油,Oil and natural gas system
2017-06-01,0.0,Beijing,原油,Oil and natural gas system
2017-07-01,0.0,Beijing,原油,Oil and natural gas system
2017-08-01,0.0,Beijing,原油,Oil and natural gas system
2017-09-01,0.0,Beijing,原油,Oil and natural gas system
2017-10-01,0.0,Beijing,原油,Oil and natural gas system
2017-11-01,0.0,Beijing,原油,Oil and natural gas system
2017-12-01,0.0,Beijing,原油,Oil and natural gas system
2018-01-01,0.0,Beijing,原油,Oil and natural gas system
2018-02-01,0.0,Beijing,原油,Oil and natural gas system
2018-03-01,0.0,Beijing,原油,Oil and natural gas system
2018-04-01,0.0,Beijing,原油,Oil and natural gas system
2018-05-01,0.0,Beijing,原油,Oil and natural gas system
2018-06-01,0.0,Beijing,原油,Oil and natural gas system
2018-07-01,0.0,Beijing,原油,Oil and natural gas system
2018-08-01,0.0,Beijing,原油,Oil and natural gas system
2018-09-01,0.0,Beijing,原油,Oil and natural gas system
2018-10-01,0.0,Beijing,原油,Oil and natural gas system
2018-11-01,0.0,Beijing,原油,Oil and natural gas system
2018-12-01,0.0,Beijing,原油,Oil and natural gas system
2019-01-01,0.0,Beijing,原油,Oil and natural gas system
2019-02-01,0.0,Beijing,原油,Oil and natural gas system
2019-03-01,0.0,Beijing,原油,Oil and natural gas system
2019-04-01,0.0,Beijing,原油,Oil and natural gas system
2019-05-01,0.0,Beijing,原油,Oil and natural gas system
2019-06-01,0.0,Beijing,原油,Oil and natural gas system
2019-07-01,0.0,Beijing,原油,Oil and natural gas system
2019-08-01,0.0,Beijing,原油,Oil and natural gas system
2019-09-01,0.0,Beijing,原油,Oil and natural gas system
2019-10-01,0.0,Beijing,原油,Oil and natural gas system
2019-11-01,0.0,Beijing,原油,Oil and natural gas system
2019-12-01,0.0,Beijing,原油,Oil and natural gas system
2020-01-01,0.0,Beijing,原油,Oil and natural gas system
2020-02-01,0.0,Beijing,原油,Oil and natural gas system
2020-03-01,0.0,Beijing,原油,Oil and natural gas system
2020-04-01,0.0,Beijing,原油,Oil and natural gas system
2020-05-01,0.0,Beijing,原油,Oil and natural gas system
2020-06-01,0.0,Beijing,原油,Oil and natural gas system
2020-07-01,0.0,Beijing,原油,Oil and natural gas system
2020-08-01,0.0,Beijing,原油,Oil and natural gas system
2020-09-01,0.0,Beijing,原油,Oil and natural gas system
2020-10-01,0.0,Beijing,原油,Oil and natural gas system
2020-11-01,0.0,Beijing,原油,Oil and natural gas system
2020-12-01,0.0,Beijing,原油,Oil and natural gas system
2021-01-01,0.0,Beijing,原油,Oil and natural gas system
2021-02-01,0.0,Beijing,原油,Oil and natural gas system
2021-03-01,0.0,Beijing,原油,Oil and natural gas system
2021-04-01,0.0,Beijing,原油,Oil and natural gas system
2021-05-01,0.0,Beijing,原油,Oil and natural gas system
2021-06-01,0.0,Beijing,原油,Oil and natural gas system
2021-07-01,0.0,Beijing,原油,Oil and natural gas system
2021-08-01,0.0,Beijing,原油,Oil and natural gas system
2021-09-01,0.0,Beijing,原油,Oil and natural gas system
2021-10-01,0.0,Beijing,原油,Oil and natural gas system
2021-11-01,0.0,Beijing,原油,Oil and natural gas system
2021-12-01,0.0,Beijing,原油,Oil and natural gas system
2022-01-01,0.0,Beijing,原油,Oil and natural gas system
2022-02-01,0.0,Beijing,原油,Oil and natural gas system
2022-03-01,0.0,Beijing,原油,Oil and natural gas system
2022-04-01,0.0,Beijing,原油,Oil and natural gas system
2022-05-01,0.0,Beijing,原油,Oil and natural gas system
2022-06-01,0.0,Beijing,原油,Oil and natural gas system
2022-07-01,0.0,Beijing,原油,Oil and natural gas system
2022-08-01,0.0,Beijing,原油,Oil and natural gas system
2022-09-01,0.0,Beijing,原油,Oil and natural gas system
2022-10-01,0.0,Beijing,原油,Oil and natural gas system
2022-11-01,0.0,Beijing,原油,Oil and natural gas system
2022-12-01,0.0,Beijing,原油,Oil and natural gas system
2013-01-01,0.0,Beijing,天然气,Oil and natural gas system
2013-02-01,0.0,Beijing,天然气,Oil and natural gas system
2013-03-01,0.0,Beijing,天然气,Oil and natural gas system
2013-04-01,0.0,Beijing,天然气,Oil and natural gas system
2013-05-01,0.0,Beijing,天然气,Oil and natural gas system
2013-06-01,0.0,Beijing,天然气,Oil and natural gas system
2013-07-01,0.0,Beijing,天然气,Oil and natural gas system
2013-08-01,0.0,Beijing,天然气,Oil and natural gas system
2013-09-01,0.0,Beijing,天然气,Oil and natural gas system
2013-10-01,0.0,Beijing,天然气,Oil and natural gas system
2013-11-01,0.0,Beijing,天然气,Oil and natural gas system
2013-12-01,0.0,Beijing,天然气,Oil and natural gas system
2014-01-01,0.0,Beijing,天然气,Oil and natural gas system
2014-02-01,0.0,Beijing,天然气,Oil and natural gas system
2014-03-01,0.0,Beijing,天然气,Oil and natural gas system
2014-04-01,0.0,Beijing,天然气,Oil and natural gas system
2014-05-01,0.0,Beijing,天然气,Oil and natural gas system
2014-06-01,0.0,Beijing,天然气,Oil and natural gas system
2014-07-01,0.0,Beijing,天然气,Oil and natural gas system
2014-08-01,0.0,Beijing,天然气,Oil and natural gas system
2014-09-01,0.0,Beijing,天然气,Oil and natural gas system
2014-10-01,0.0,Beijing,天然气,Oil and natural gas system
2014-11-01,0.0,Beijing,天然气,Oil and natural gas system
2014-12-01,0.0,Beijing,天然气,Oil and natural gas system
2015-01-01,0.0,Beijing,天然气,Oil and natural gas system
2015-02-01,0.0,Beijing,天然气,Oil and natural gas system
2015-03-01,0.0,Beijing,天然气,Oil and natural gas system
2015-04-01,0.0,Beijing,天然气,Oil and natural gas system
2015-05-01,0.0,Beijing,天然气,Oil and natural gas system
2015-06-01,0.0,Beijing,天然气,Oil and natural gas system
2015-07-01,0.0,Beijing,天然气,Oil and natural gas system
2015-08-01,0.0,Beijing,天然气,Oil and natural gas system
2015-09-01,0.0,Beijing,天然气,Oil and natural gas system
2015-10-01,0.0,Beijing,天然气,Oil and natural gas system
2015-11-01,0.0,Beijing,天然气,Oil and natural gas system
2015-12-01,0.0,Beijing,天然气,Oil and natural gas system
2016-01-01,1.7113333333333332,Beijing,天然气,Oil and natural gas system
2016-02-01,1.3690666666666667,Beijing,天然气,Oil and natural gas system
2016-03-01,1.7214,Beijing,天然气,Oil and natural gas system
2016-04-01,1.359,Beijing,天然气,Oil and natural gas system
2016-05-01,1.4496,Beijing,天然气,Oil and natural gas system
2016-06-01,1.5401999999999998,Beijing,天然气,Oil and natural gas system
2016-07-01,1.5401999999999998,Beijing,天然气,Oil and natural gas system
2016-08-01,1.5401999999999998,Beijing,天然气,Oil and natural gas system
2016-09-01,1.5401999999999998,Beijing,天然气,Oil and natural gas system
2016-10-01,1.6308000000000002,Beijing,天然气,Oil and natural gas system
2016-11-01,2.0837999999999997,Beijing,天然气,Oil and natural gas system
2016-12-01,2.1744,Beijing,天然气,Oil and natural gas system
2017-01-01,1.7214,Beijing,天然气,Oil and natural gas system
2017-02-01,1.7214,Beijing,天然气,Oil and natural gas system
2017-03-01,1.812,Beijing,天然气,Oil and natural gas system
2017-04-01,1.7214,Beijing,天然气,Oil and natural gas system
2017-05-01,1.812,Beijing,天然气,Oil and natural gas system
2017-06-01,0.9966000000000002,Beijing,天然气,Oil and natural gas system
2017-07-01,1.0872,Beijing,天然气,Oil and natural gas system
2017-08-01,1.1778,Beijing,天然气,Oil and natural gas system
2017-09-01,1.2684,Beijing,天然气,Oil and natural gas system
2017-10-01,1.359,Beijing,天然气,Oil and natural gas system
2017-11-01,1.4496,Beijing,天然气,Oil and natural gas system
2017-12-01,1.6308000000000002,Beijing,天然气,Oil and natural gas system
2018-01-01,1.4686736842105264,Beijing,天然气,Oil and natural gas system
2018-02-01,1.0681263157894736,Beijing,天然气,Oil and natural gas system
2018-03-01,1.2684,Beijing,天然气,Oil and natural gas system
2018-04-01,1.1778,Beijing,天然气,Oil and natural gas system
2018-05-01,1.2684,Beijing,天然气,Oil and natural gas system
2018-06-01,1.2684,Beijing,天然气,Oil and natural gas system
2018-07-01,1.2684,Beijing,天然气,Oil and natural gas system
2018-08-01,1.2684,Beijing,天然气,Oil and natural gas system
2018-09-01,1.2684,Beijing,天然气,Oil and natural gas system
2018-10-01,1.359,Beijing,天然气,Oil and natural gas system
2018-11-01,1.4496,Beijing,天然气,Oil and natural gas system
2018-12-01,1.5401999999999998,Beijing,天然气,Oil and natural gas system
2019-01-01,2.585772972972973,Beijing,天然气,Oil and natural gas system
2019-02-01,1.7630270270270272,Beijing,天然气,Oil and natural gas system
2019-03-01,2.265,Beijing,天然气,Oil and natural gas system
