date,province,sector,value
2013/1/1,Anhui,原油,0
2013/1/1,Anhui,天然气,0
2013/1/1,Beijing,原油,0
2013/1/1,Beijing,天然气,0
2013/1/1,Chongqing,原油,0
2013/1/1,Chongqing,天然气,0
2013/1/1,Fujian,原油,0
2013/1/1,Fujian,天然气,0
2013/1/1,Gansu,原油,216.9703932
2013/1/1,Gansu,天然气,0
2013/1/1,Guangdong,原油,3569.533564
2013/1/1,Guangdong,天然气,6225.951632
2013/1/1,Guangxi,原油,6.083282051
2013/1/1,Guangxi,天然气,0
2013/1/1,Guizhou,原油,0
2013/1/1,Guizhou,天然气,0
2013/1/1,Hainan,原油,111.5268376
2013/1/1,Hainan,天然气,153.3230769
2013/1/1,Hebei,原油,1772.465244
2013/1/1,Hebei,天然气,1204.276769
2013/1/1,Heilongjiang,原油,13304.13785
2013/1/1,Heilongjiang,天然气,3015.353846
2013/1/1,Henan,原油,1565.431248
2013/1/1,Henan,天然气,459.9692308
2013/1/1,Hubei,原油,261.5811282
2013/1/1,Hubei,天然气,153.3230769
2013/1/1,Hunan,原油,0
2013/1/1,Hunan,天然气,0
2013/1/1,InnerMongolia,原油,0
2013/1/1,InnerMongolia,天然气,0
2013/1/1,Jiangsu,原油,646.8556581
2013/1/1,Jiangsu,天然气,51.10769231
2013/1/1,Jiangxi,原油,0
2013/1/1,Jiangxi,天然气,0
2013/1/1,Jilin,原油,2027.760684
2013/1/1,Jilin,天然气,2504.276923
2013/1/1,Liaoning,原油,3271.344823
2013/1/1,Liaoning,天然气,612.7852433
2013/1/1,Ningxia,原油,4.055521368
2013/1/1,Ningxia,天然气,0
2013/1/1,Qinghai,原油,679.2998291
2013/1/1,Qinghai,天然气,6950.646154
2013/1/1,Shaanxi,原油,11775.20629
2013/1/1,Shaanxi,天然气,33679.96923
2013/1/1,Shandong,原油,8896.369951
2013/1/1,Shandong,天然气,454.8523938
2013/1/1,Shanghai,原油,37.10112056
2013/1/1,Shanghai,天然气,477.9520056
2013/1/1,Shanxi,原油,0
2013/1/1,Shanxi,天然气,0
2013/1/1,Sichuan,原油,75.0271453
2013/1/1,Sichuan,天然气,21567.44615
2013/1/1,Tianjin,原油,8483.988285
2013/1/1,Tianjin,天然气,2086.753154
2013/1/1,Tibet,原油,0
2013/1/1,Tibet,天然气,0
2013/1/1,Xinjiang,原油,8532.816957
2013/1/1,Xinjiang,天然气,24225.04615
2013/1/1,Yunnan,原油,0
2013/1/1,Yunnan,天然气,0
2013/1/1,Zhejiang,原油,0
2013/1/1,Zhejiang,天然气,153.3230769
2013/2/1,Anhui,原油,0
2013/2/1,Anhui,天然气,0
2013/2/1,Beijing,原油,0
2013/2/1,Beijing,天然气,0
2013/2/1,Chongqing,原油,0
2013/2/1,Chongqing,天然气,0
2013/2/1,Fujian,原油,0
2013/2/1,Fujian,天然气,0
2013/2/1,Gansu,原油,167.6589402
2013/2/1,Gansu,天然气,0
2013/2/1,Guangdong,原油,2758.275936
