year,ent
2010,17874516120.957176
2011,18944227149.243828
2012,19175107813.69941
2013,18266219310.154087
2014,17189830806.60876
2015,16601987311.051086
2016,14230086380.08599
2017,14660649869.165558
2018,14124026751.517605
2019,14432683468.899796
2020,13656287009.875088
2021,15380584364.31601
2022,17343247679.781075
