date,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,西藏,贵州,辽宁,重庆,陕西,青海,黑龙江
2010-01-01,0.0,38072574.024061926,138502300.07312164,1972079.9018821921,22832736.024424523,87432649.06069316,21.902722910718733,48292308.29170338,51922577.66492624,46255638.0015996,463475865.7196466,17758.17466515558,2420474.1143721077,25970768.39304403,7097934.331085645,13183256.34927839,45556677.09736504,89680905.8544038,31695.503220588213,206.93554100384463,722885.1103607633,37811845.7334619,11206437.14188657,5769110.866231831,0.0,102370160.76747397,29517555.283461276,28172625.09376257,175504547.6888883,2488288.310808986,37037208.60566172
2010-02-01,0.0,29007675.39579555,105525561.77454765,1523879.924817323,17396370.273672696,66615351.54792013,19.91156626726638,36794139.58599385,39560059.10357606,35242390.79626787,353124468.4975591,16912.547296846205,1844170.7505580678,19787252.07412267,5407949.957013153,10044385.772229146,34709849.15588458,68328309.10201494,24148.954792185723,179.94394864853274,550769.6069235113,28809025.26997413,8538237.807346204,4395513.033194062,0.0,77996312.82827236,22489565.89063173,32868062.548348986,133717750.38450743,1895838.7096570355,28218825.55459482
2010-03-01,0.0,54021401.68327639,136786284.10954458,1553759.9229775623,13570941.002364121,106240000.4197333,19.91156626726638,43268098.34267485,50226961.41474105,41754604.93865509,499653212.93406975,20159.26616109437,2698040.628833377,23902736.76658839,6657637.63814397,20592573.477470968,45892730.87682446,80513928.13733561,23977.485667595618,1320.0688074620534,3233123.513106235,46233127.99390993,12230516.827822182,11035877.376519542,0.0,112622507.22159028,30370924.175256692,41376314.218165495,176051800.0314506,2156913.8038007035,37963247.48189124
2010-04-01,0.0,35351443.29133162,122033209.26886557,1035839.9486517081,18354361.791316237,86936571.77204068,19.91156626726638,45856935.49919707,43994493.213196255,39822515.24997698,454901997.1153325,21559.494352409998,2893866.1583454763,20405380.26286411,6752860.107342691,10540274.57614628,42307865.903335705,84077742.13513865,23977.485667595618,2460.193666275574,4898671.989554901,44602108.55314785,10065865.871384034,10697056.579872012,0.0,116217884.75728306,25885245.672407124,43192081.50878527,173971185.313781,1709553.90375315,35503411.35444525
2010-05-01,0.0,30788800.477498446,125284823.4640845,1035839.9486517081,20074243.42329902,79680000.31479995,19.91156626726638,47335449.1641442,48671394.47409364,40336609.289946884,447470098.77400666,22953.02288730785,2893866.1583454763,21115675.104046036,7197231.630270059,13468128.62507581,43933435.3057285,85783930.70632485,23977.485667595618,3600.318525089095,5192592.308928198,40838217.53600458,10529378.32783989,10237228.355850361,0.0,118951155.41793226,26667152.934371725,41569480.95121017,179677536.1346283,1345275.1280001425,35335847.58554565
2010-06-01,0.0,34584977.14510922,119921587.87647638,1035839.9486517081,21928490.807780456,84422857.4763952,19.91156626726638,47295178.36393164,48574490.30402051,40862002.10002604,481719079.07588416,31394.589973708287,3100570.8839415815,24852803.093841232,6721119.284276451,13760914.029968753,42437050.226704665,82260499.86996995,23977.485667595618,4740.443383902617,4800698.549763804,42092847.87505235,12381038.914197026,8494721.401663069,0.0,127327307.4425026,28354426.499663755,41839914.37747267,178877085.16415757,2342248.619534689,38961927.54453278
2010-07-01,0.0,35300827.60243011,121388027.32183006,517919.97432585404,20665452.734293096,84897143.19255476,19.91156626726638,47559815.0510428,49977050.66034199,40782910.70926142,461349705.1839532,19368.706703796557,2774195.0014214152,27714276.596888375,6848082.576541414,21666119.962078463,41963374.37435181,85682972.80270435,23977.485667595618,5880.5682427161355,9699370.539318705,36635205.900194585,10596277.03289537,8664131.799986832,0.0,95693863.12982725,27593095.744592965,37088012.74457411,171335554.06954786,2399766.3209693744,34109280.79720065
2010-08-01,0.0,37412224.910891734,121511408.73002811,517919.97432585404,22250968.613777217,89260571.78122233,19.91156626726638,44976730.865979515,49405826.07885835,42703701.627830334,452395256.0788694,4756.7560566224665,2785074.197505421,26890484.908067863,6697313.666976769,18933456.183077574,43524351.61506013,85551727.52799773,23977.485667595618,4642.553875828529,7935848.623078941,43033820.62933815,9399268.060295466,8930348.140209889,0.0,98387947.11433822,27572519.23769916,41376314.218165495,173017337.81586802,2402961.7488268577,34987314.94623451
2010-09-01,0.0,46501356.47505697,127715180.16098525,155375.99229775625,27195628.305727713,94904571.8035207,19.91156626726638,45247120.524549626,47294335.21515981,42020126.03622198,467885738.0206374,435.4776671555781,3383429.9821257256,27975845.490783937,6483063.111279644,20690168.6124353,43448994.09309489,82553277.79046936,23977.485667595618,3095.03591721902,8817609.581198825,43598404.28190962,10190106.323629938,9559586.762555301,0.0,111995520.4033769,28344138.246216863,36199445.77256868,179493460.30169767,2393375.46525441,44055866.11908035
2010-10-01,0.0,40760091.191089414,125238555.43601023,155375.99229775625,21552266.70078421,87980000.34759164,19.91156626726638,45258626.46746749,45789770.46928773,42839286.869141065,431941763.36021197,435.4776671555781,2469577.511069259,27202413.330385853,6245006.938282841,10247489.171253327,41769597.88929835,76798677.28410181,23977.485667595618,928.5107751657057,2939203.1937329415,42531968.493719034,9810217.248493437,9632191.218979776,0.0,112955593.9687663,25175356.184570838,4365568.166809246,175109108.6446244,2444502.3109741295,38150918.903058775
