,date,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,西藏,贵州,辽宁,重庆,陕西,青海,黑龙江
0,2010-01-01,0.0,35677435.506148465,114594458.12994826,1986396.520153119,26941340.020016838,156771345.0358499,22.061729106516054,59464510.759829424,76823828.02962254,34917795.11281817,387614172.09097797,17887.092873604855,2434910.6855796967,16807332.524878904,6394827.855137857,13425890.778309949,50784747.173902705,108138621.67289595,31925.601615729807,208.4378214867055,676583.3137644567,53364638.619648576,11207538.384439027,5810992.616538026,0.0,164040123.93252024,40302813.34700388,52341603.62687818,125316492.68607695,3057199.110175617,50262866.81454054
1,2010-02-01,0.0,27182807.95679103,87310063.18327145,1534942.7662131079,20526735.217180017,119444834.10257812,20.056117354244467,45306293.8324256,58532440.30039336,26604034.3247972,295325082.9775532,17035.3265429644,1855170.0428873277,12805586.6630598,4872249.785806308,10229250.098784612,38693140.63575226,82391330.65323123,24324.26785484186,181.25027950282802,515492.0476741952,40658772.21000011,8539076.84928946,4427422.938133037,0.0,124982951.34742649,30706905.353138413,61065204.11795107,95479232.35450003,2329294.556029808,38295517.505510226
2,2010-03-01,0.0,50622925.397393666,113174655.57515575,1565039.682829434,16012944.552294195,190493916.6471917,20.056117354244467,53277973.04518931,74315020.93516175,31520022.27737524,417870013.9290267,20305.615463663165,2714132.705764853,15468978.006761696,5998146.028396035,20971574.47507123,51159366.3804398,97084938.32987443,24151.553923690084,1329.6520506104443,3026037.4559596553,65249768.15579199,12231718.705403687,11115994.030785726,0.0,180468702.04868108,41467990.030231476,76872589.3004507,125707250.33359802,2650060.659394068,51519585.94790137
3,2010-04-01,0.0,33127490.59936523,100968211.23289123,1043359.7885529558,21657111.146964222,155881852.3278136,20.056117354244467,56465725.72041006,65093559.15787015,30061512.249116234,380443673.6325139,21716.008827540074,2911126.2086026235,13205616.644997532,6083935.959672263,10734265.60809333,47163103.418983914,101382240.30234407,24151.553923690084,2478.05382171806,4584905.236302507,62947876.74188349,10066855.03142523,10774713.51229669,0.0,186230011.51735428,35343313.99595609,80246082.94855638,124221617.382869,2100418.44855678,48181364.188918345
4,2010-05-01,0.0,28851882.792410944,103658541.7656841,1043359.7885529558,23686474.416957952,142870437.48539373,20.056117354244467,58286286.692702785,72013428.59303908,30449595.326810878,374228227.8332717,23119.653897809905,2911126.2086026235,13665293.517309409,6484288.972294641,13716006.054785922,48975222.6597642,103439588.83873892,24151.553923690084,3626.4555928256764,4859999.550480659,57635819.63286377,10530413.03667007,10311547.094347285,0.0,190609862.58481964,36410918.07532519,77231471.60344069,128296154.93942593,1652852.64830356,47953964.8865353
5,2010-06-01,0.0,32409242.695185896,99221091.44420397,1043359.7885529558,25874381.69241993,151374630.19285774,20.056117354244467,58236699.42886602,71870050.70943142,30846207.70291639,402871337.7049354,31622.50384271373,3119063.7949313815,16083826.22538837,6055339.31591352,14014180.09945518,47307112.8950724,99190981.50618395,24151.553923690084,4774.8573639332935,4493207.13157646,59406505.335870326,12382255.58339557,8556390.14211796,0.0,204031986.82382646,38714695.29922694,77733906.82762663,127724604.46106239,2877769.5753123723,52874885.79010426
6,2010-07-01,0.0,33080059.13399489,100434398.61334102,521679.8942764779,24384068.041018292,152225049.46360412,20.056117354244467,58562558.59122192,73945256.91954204,30786502.6140403,385836021.34628785,19509.31681802932,2790741.2902017636,17935667.33955905,6169725.890948482,22064879.30552518,46779078.14941458,103317852.23895225,24151.553923690084,5923.259135040908,9078112.367878964,51704022.52779176,10597318.315777568,8727030.401362477,0.0,153341882.53405675,37675186.064051755,68905402.1740735,122339682.8809402,2948437.8595628813,46289401.99309146
7,2010-08-01,0.0,35058628.8323002,100536482.30154184,521679.8942764779,26254887.305543754,160048906.75447088,20.056117354244467,55381889.81083498,73100082.02669701,32236483.343888428,378347235.77379954,4791.2884610172305,2801685.3736927514,17402539.45378782,6033891.833094465,19281921.555278752,48519192.65215062,103159594.65922959,24151.553923690084,4676.257211874402,7427546.482810062,60734519.61312523,9400191.714604056,8995179.38017529,0.0,157658940.03783092,37647091.219857834,76872589.3004507,123540536.32502809,2952363.8753545764,47480974.337578565
8,2010-09-01,0.0,43575964.828087084,105669377.74889015,156503.96828294345,32089306.7067757,170168896.07635292,20.056117354244467,55714832.86802471,69975953.40493043,31720460.790030718,391302236.83696264,438.6390844593241,3403609.965697053,18104945.171902463,5840864.487722956,21070965.82329432,48435187.12443234,99544017.64556524,24151.553923690084,3117.504807916269,8252829.425344513,61531328.17947822,10191107.692624876,9628986.057369212,0.0,179464005.02962103,38700647.87712999,67254543.58031966,128164718.24405314,2940585.827979492,59787824.58254865
9,2010-10-01,0.0,38195881.47036651,103620260.38260877,156503.96828294345,25430458.477108803,157752774.72345567,20.056117354244467,55729000.657692365,67749823.10681178,32338834.924818885,361241569.1514363,438.6390844593241,2484306.9524541185,17604408.13316287,5626389.659532397,10436091.563424073,46563063.93528182,92605031.45772472,24151.553923690084,935.2514423748803,2750943.141781505,60026245.33192263,9811181.286264421,9702117.597045435,0.0,181002447.3400568,34374041.87126572,8110740.047573236,125034135.13608272,3003402.0806466104,51774273.16657037
