,date,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,西藏,贵州,辽宁,重庆,陕西,青海,黑龙江
0,2010-01-01,0.0,36738131.58703557,129463536.23716915,1934556.6479908505,21964888.30010729,75330426.88280232,21.50822425137566,43619067.113093495,51122032.52340307,46965845.95224742,339210515.31167984,17438.325113739502,3039767.3844087063,20479417.83995331,6521734.984954999,11147463.2757662,43107107.06666358,85625393.79164341,31124.622897685207,203.2083426171774,690030.7115250784,37921729.94790112,14571811.966422373,5563525.742088972,0.0,96328854.24619497,16470070.107112538,23846892.63789828,158978554.35774076,2443470.759736704,37620157.98281318
1,2010-02-01,0.0,27990957.35032875,98638884.57833654,1494884.6831619188,16735152.961072184,57394610.857201725,19.552931122682907,33233574.88475493,38950119.94920449,35783501.61485568,258446106.44877958,16607.928676509415,2316013.2411831818,15603365.945806116,4968940.9321632935,8493305.338000327,32843510.088162262,65238395.154879734,23713.998356454544,176.70290657407884,525737.6840451885,28892746.576066002,11102332.907236746,4238876.748408815,0.0,73393412.6296935,12548624.821404831,27821374.692546397,121126517.39248428,1861692.004138317,28662977.46021337
2,2010-03-01,0.0,52127953.37404857,127859508.76060861,1524196.1471790082,13055124.139542846,91534508.78620973,19.552931122682907,39081049.38916959,49452559.377278194,42395704.136174925,365688132.5920522,19796.169595141833,3388351.008027521,18848658.089472964,6117180.897501425,17412614.19119637,43425091.326585636,76872961.27075087,23545.617630509907,1296.2925228006823,3086181.311832215,46367485.12068151,15903430.252693722,10642608.418254739,0.0,105976165.3362237,16946228.967157923,35023236.90563688,159474275.90704015,2118064.77085688,38560772.303749226
3,2010-04-01,0.0,34112376.39482312,114069230.63354832,1016130.7647860058,17656732.25209458,74903015.44871534,19.552931122682907,41419365.0686173,43316183.71125122,40433949.18899973,332935439.08312994,21171.177719231116,3634279.7102230676,16090794.9376753,6204673.353723139,8912617.690280613,40032983.559343554,80275613.9765283,23545.617630509907,2415.8821390272847,4676032.290654872,44731725.80841866,13088718.822933912,10315861.66857148,0.0,109359364.07303602,14443330.650870372,36560204.3515425,157589577.62231585,1678762.44801249,36062219.43731632
4,2010-05-01,0.0,29709654.057917114,117108642.05104657,1016130.7647860058,19311243.03413565,68650881.58965726,19.552931122682907,42754803.134435214,47920976.25277881,40955936.616464466,327496152.4825412,22539.606857080733,3634279.7102230676,16650902.541038468,6612971.4827577965,11388344.826469671,41571146.54088576,81904646.00847276,23545.617630509907,3535.471755253888,4956594.228094166,40956896.62627364,13691427.451381376,9872419.651144197,0.0,111931332.59502687,14879615.678480128,35186744.0807332,162758602.67666698,1321044.8422677726,35892018.288376756
5,2010-06-01,0.0,33372774.86120658,112095415.23475397,1016130.7647860058,21095012.471023683,72737243.58904164,19.552931122682907,42718429.33497714,47825566.15649853,41489396.29508229,352562429.10313827,30829.129519054386,3893871.118096141,19597839.053124867,6175509.201649233,11635917.540088568,40155221.677082,78540550.27386561,23545.617630509907,4655.061371480492,4582511.644841777,42215173.02032197,16099155.219663786,8192007.795630294,0.0,119813171.61403085,15821072.843322236,35415654.1258681,162033524.38214168,2300061.4474638407,39575171.15142905
6,2010-07-01,0.0,34063534.784112595,113466153.7435941,508065.3823930029,19879981.115462277,73145879.78898011,19.552931122682907,42957457.15998736,49206501.760555364,41409090.53701078,337654412.6873761,19019.849218861767,3483989.947770233,21854272.54095933,6292165.809944852,18320380.80779903,39707015.24537436,81808253.58054706,23545.617630509907,5774.650987707094,9258543.935496645,36741670.706211686,13778416.325590286,8355381.170471919,0.0,90046553.84518375,15396269.000649577,31393377.618498035,155202124.70131788,2356543.1746866913,34646145.878139086
7,2010-08-01,0.0,36100927.688037395,113581483.18868494,508065.3823930029,21405233.24265639,76905332.82841364,19.552931122682907,40624337.737605065,48644084.35090314,43359373.2330329,331100795.7249234,4671.080230159754,3497652.6534477654,21204666.262349766,6153636.087593807,16009702.147355907,41184059.16804733,81682943.42424364,23545.617630509907,4558.934990295075,7575172.310860893,43158880.31585824,12221936.82635224,8612110.75950877,0.0,92581648.2665009,15384787.815712478,35023236.90563688,156725547.04138327,2359681.0484212944,35537999.898582436
8,2010-09-01,0.0,44871485.49705616,119380391.8496589,152419.61471790075,26161951.741024483,81768103.60768108,19.552931122682907,40868561.81968074,46565148.5687958,42665302.03827207,342438029.7656527,427.63410557800586,4249101.465711933,22060534.38854703,5956778.06109495,17495138.429069344,41112753.599366575,78820088.31485015,23545.617630509907,3039.289993530051,8416858.12317877,43725104.69317999,13250269.589321895,9218926.151777677,0.0,105386179.72544448,15815332.250853688,30641244.613054864,162591859.93297824,2350267.4272174863,44749286.07919202
9,2010-10-01,0.0,39331451.36789075,117065393.50913751,152419.61471790075,20733088.2374522,75802015.08857991,19.552931122682907,40878954.3338116,45083781.28444392,43497040.24686977,316131214.09579855,427.63410557800586,3101434.1887993836,21450639.442662694,5738046.920540672,8665044.976661708,39523658.06876667,73325719.92308488,23545.617630509907,911.786998059015,2805619.374392924,42655569.758238904,12756297.05363557,9288943.312424092,0.0,106289595.19195016,14047229.770540461,3695262.1571773733,158620350.94693726,2400473.4069711296,38751397.59056155
