year,month,province,enmpt
2010,1,上海,0.0
2010,1,云南,38072574.024061926
2010,1,内蒙古,138502300.07312164
2010,1,北京,1972079.9018821921
2010,1,吉林,22832736.024424523
2010,1,四川,87432649.06069316
2010,1,天津,21.902722910718733
2010,1,宁夏,48292308.29170338
2010,1,安徽,51922577.66492624
2010,1,山东,46255638.0015996
2010,1,山西,463475865.7196466
2010,1,广东,17758.17466515558
2010,1,广西,2420474.1143721077
2010,1,新疆,25970768.39304403
2010,1,江苏,7097934.331085645
2010,1,江西,13183256.34927839
2010,1,河北,45556677.09736504
2010,1,河南,89680905.8544038
2010,1,浙江,31695.503220588213
2010,1,海南,206.93554100384463
2010,1,湖北,722885.1103607633
2010,1,湖南,37811845.7334619
2010,1,甘肃,11206437.14188657
2010,1,福建,5769110.866231831
2010,1,西藏,0.0
2010,1,贵州,102370160.76747397
2010,1,辽宁,29517555.283461276
2010,1,重庆,28172625.09376257
2010,1,陕西,175504547.6888883
2010,1,青海,2488288.310808986
2010,1,黑龙江,37037208.60566172
2010,2,上海,0.0
2010,2,云南,29007675.39579555
2010,2,内蒙古,105525561.77454765
2010,2,北京,1523879.924817323
2010,2,吉林,17396370.273672696
2010,2,四川,66615351.54792013
2010,2,天津,19.91156626726638
2010,2,宁夏,36794139.58599385
2010,2,安徽,39560059.10357606
2010,2,山东,35242390.79626787
2010,2,山西,353124468.4975591
2010,2,广东,16912.547296846205
2010,2,广西,1844170.7505580678
2010,2,新疆,19787252.07412267
2010,2,江苏,5407949.957013153
2010,2,江西,10044385.772229146
2010,2,河北,34709849.15588458
2010,2,河南,68328309.10201494
2010,2,浙江,24148.954792185723
2010,2,海南,179.94394864853274
2010,2,湖北,550769.6069235113
2010,2,湖南,28809025.26997413
2010,2,甘肃,8538237.807346204
2010,2,福建,4395513.033194062
2010,2,西藏,0.0
2010,2,贵州,77996312.82827236
2010,2,辽宁,22489565.89063173
2010,2,重庆,32868062.548348986
2010,2,陕西,133717750.38450743
2010,2,青海,1895838.7096570355
2010,2,黑龙江,28218825.55459482
2010,3,上海,0.0
2010,3,云南,54021401.68327639
2010,3,内蒙古,136786284.10954458
2010,3,北京,1553759.9229775623
2010,3,吉林,13570941.002364121
2010,3,四川,106240000.4197333
2010,3,天津,19.91156626726638
2010,3,宁夏,43268098.34267485
2010,3,安徽,50226961.41474105
2010,3,山东,41754604.93865509
2010,3,山西,499653212.93406975
2010,3,广东,20159.26616109437
2010,3,广西,2698040.628833377
2010,3,新疆,23902736.76658839
2010,3,江苏,6657637.63814397
2010,3,江西,20592573.477470968
2010,3,河北,45892730.87682446
2010,3,河南,80513928.13733561
2010,3,浙江,23977.485667595618
2010,3,海南,1320.0688074620534
2010,3,湖北,3233123.513106235
2010,3,湖南,46233127.99390993
2010,3,甘肃,12230516.827822182
2010,3,福建,11035877.376519542
2010,3,西藏,0.0
2010,3,贵州,112622507.22159028
2010,3,辽宁,30370924.175256692
2010,3,重庆,41376314.218165495
2010,3,陕西,176051800.0314506
2010,3,青海,2156913.8038007035
2010,3,黑龙江,37963247.48189124
2010,4,上海,0.0
2010,4,云南,35351443.29133162
2010,4,内蒙古,122033209.26886557
2010,4,北京,1035839.9486517081
2010,4,吉林,18354361.791316237
2010,4,四川,86936571.77204068
2010,4,天津,19.91156626726638
2010,4,宁夏,45856935.49919707
2010,4,安徽,43994493.213196255
2010,4,山东,39822515.24997698
2010,4,山西,454901997.1153325
2010,4,广东,21559.494352409998
2010,4,广西,2893866.1583454763
2010,4,新疆,20405380.26286411
2010,4,江苏,6752860.107342691
2010,4,江西,10540274.57614628
2010,4,河北,42307865.903335705
2010,4,河南,84077742.13513865
2010,4,浙江,23977.485667595618
2010,4,海南,2460.193666275574
2010,4,湖北,4898671.989554901
2010,4,湖南,44602108.55314785
2010,4,甘肃,10065865.871384034
2010,4,福建,10697056.579872012
2010,4,西藏,0.0
2010,4,贵州,116217884.75728306
2010,4,辽宁,25885245.672407124
2010,4,重庆,43192081.50878527
