date,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,西藏,贵州,辽宁,重庆,陕西,青海,黑龙江
2010-01-01,0.0,35052852.443527356,94110418.14770852,1947906.2237064138,20580515.890446138,113767643.42160305,21.63424019137677,38384549.28635821,65483295.42387512,31392650.72602336,376744433.4079472,17540.49565583399,2264928.387127523,16460907.101153385,6161005.403805999,12658951.244258607,47930930.49011156,86528236.35710748,31306.980983866175,204.39893324947164,587916.1203681214,49368781.490988985,9367599.118408632,5698393.331253876,0.0,177970024.95107508,15538004.491882978,29018608.38841196,88958081.44916557,2457786.9701804253,27184588.800914366
2010-02-01,0.0,26706935.148013387,71703175.60525328,1505200.2644009755,15680393.03176018,86680109.12088025,19.66749106805098,29245370.83331679,49892034.52076172,23918210.03482859,287043377.32888335,16705.233954675645,1725659.7204852845,12541643.483543493,4694099.347010207,9644915.21672742,36518804.1185995,65926275.20354511,23852.937850442864,177.7382027757835,447936.09091982414,37614309.64114735,7137218.363355287,4341633.006639124,0.0,135596209.24762574,11838479.592004947,33855043.056940325,67777585.74661322,1872599.5930286008,20712067.621346828
2010-03-01,0.0,49736700.77572502,92944408.77605818,1534713.9947143951,12232303.945032854,138239829.3396436,19.66749106805098,34391117.594325595,63344831.87237461,28337901.835814282,406151820.4729402,19912.154666284732,2524657.782367286,15150138.163933529,5778827.973308882,19773595.896084245,48284498.20774346,77683517.32772374,23683.570587664224,1303.8874557374024,2629470.997884785,60363971.906200096,10223639.967225255,10900600.023998117,0.0,195793679.23242983,15987216.818128025,42618785.251881205,89235467.5289223,2130474.438896569,27864283.276056632
2010-04-01,0.0,32547547.864077047,82919896.248196,1023142.6631429299,16543888.305856336,113122146.06230663,19.66749106805098,36448823.07464026,55484618.16928348,27026636.455236766,369775014.91529083,21295.218915288893,2707899.073022976,12933428.221580058,5861481.055167887,10121082.259607103,44512802.71086836,81122047.93796654,23683.570587664224,2430.036708699021,3984046.9664920983,58234442.36812519,8414181.516296148,10565932.479401682,0.0,202044225.53360432,13625961.2176186,44489077.415129006,88180865.26387505,1688598.258977281,26058811.531298026
2010-05-01,0.0,28346790.51037841,85129323.61081395,1023142.6631429299,18094120.885028806,103679872.00473268,19.66749106805098,37624001.53784218,61382994.5733216,27375540.401530784,363733866.849467,22671.66563200116,2707899.073022976,13383630.434243722,6247195.43717659,12932493.998386856,46223091.05930122,82768256.64372018,23683.570587664224,3556.18596166064,4223089.784481624,53320143.43410617,8801637.299386932,10111740.811735094,0.0,206796003.23940182,14037556.230551433,42817752.50329054,91073246.27498315,1328784.7981858605,25935822.992826726
2010-06-01,0.0,31841873.88706903,81485078.39966585,1023142.6631429299,19765465.384449136,109851292.95739537,19.66749106805098,37591992.78592616,61260781.75797077,27732112.566424668,391573747.2682581,31009.75631977742,2901320.43538176,15752313.398649795,5833930.027881553,13213635.172264833,44648719.6657107,79368689.55314016,23683.570587664224,4682.33521462226,3904366.027162259,54958243.07877917,10349463.236991849,8390593.439524865,0.0,221357902.66039395,14925734.942669662,43096306.655263625,90667521.27489124,2313537.427720274,28597294.965345543
2010-07-01,0.0,32500946.75238785,82481503.94146311,511571.33157146495,18627013.33411935,110468435.05266172,19.66749106805098,37802336.01280279,63029651.45383823,27678435.03622558,375016146.76866263,19131.285855842198,2595918.2842889437,17565985.16966627,5944134.137026895,20804446.86697015,44150357.49795542,82670847.84456317,23683.570587664224,5808.484467583878,7888412.9936543545,47832509.62445163,8857558.75261653,8557927.211823082,0.0,166363314.08684528,14524971.377445584,38201712.2705938,86844941.48308463,2370350.079424182,25035546.89121684
2010-08-01,0.0,34444878.8399948,82565339.92043993,511571.33157146495,20056133.99304399,116146142.32911128,19.66749106805098,35749203.21133327,62309239.06861223,28982032.19820324,367737366.7844299,4698.447927239003,2606098.355992038,17043845.88386798,5813266.7574168015,18180462.57744239,45792687.36896712,82544216.40565903,23683.570587664224,4585.645632303062,6454156.0857172,56186817.81228393,7856964.178758381,8820880.282577422,0.0,171046965.94739842,14514139.929736821,42618785.251881205,87697388.08606523,2373506.337852178,25680006.83280643
2010-09-01,0.0,42813107.03904262,86780717.73836751,153471.39947143954,24513052.65816486,123490133.26277983,19.66749106805098,35964119.11705503,59646286.14465169,28518104.97291119,380329074.94879305,430.1395989725849,3166002.299662201,17731773.920996375,5627297.323234036,19867309.62071024,45713402.47864241,79651175.07069553,23683.570587664224,3057.097088202042,7171284.539685776,56923962.65238677,8518035.643722547,9442405.722542224,0.0,194703665.70851934,14920319.218815284,37286462.914110824,90979943.66172157,2364037.5625681933,32336146.534872927
2010-10-01,0.0,37527209.51315244,85097885.11869763,153471.39947143954,19426352.007755164,114479858.6718924,19.66749106805098,35973264.47474531,57748771.37999383,29074050.82140166,351111388.8307787,430.1395989725849,2310876.2766023143,17241553.73387373,5420664.618586522,9839941.085729126,43946482.06569191,74098873.51874541,23683.570587664224,917.1291264606123,2390428.179895259,55531577.954414755,8200481.677168766,9514120.19638432,0.0,196372748.91700733,13252276.271666417,4496659.881851146,88757645.05494645,2414537.697416111,28002030.43914449
