,date,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,西藏,贵州,辽宁,重庆,陕西,青海,黑龙江
0,2010-01-01,0.0,33895212.94391396,93020388.87958404,1926370.5543191496,20077961.19495204,103285192.39914924,21.417212009053074,33518985.33039249,60417131.491248265,31082292.989676893,334210945.8962348,17364.534685836083,2243136.735409808,15311193.552795924,5837227.788310777,12368338.520331427,45553779.31914622,82077102.0631453,30992.918778913892,202.34846470703044,571584.9944232093,47972255.48876974,9211754.13340862,5539983.6334011955,0.0,165758401.5200061,11480037.903271163,24986302.372147713,88362726.89533408,2433131.191472295,26174435.84189651
1,2010-02-01,0.0,25824924.102242928,70872677.11671697,1488559.0653220566,15297494.216820255,78693479.78451091,19.470192720634646,25538274.49244588,46032100.102704026,23681746.998028826,254636910.71038997,16537.65207851988,1709056.5573010403,11665671.257766902,4447411.640400866,9423495.998887306,34707641.32486462,62534934.79507298,23613.65236137701,175.95518665242162,435493.32831705234,36550289.83180738,7018479.327374008,4220939.903725922,0.0,126292115.22129948,8746695.529938616,29150686.04670202,67323982.27782658,1853814.2378555045,19942427.27297498
2,2010-03-01,0.0,48094119.205760285,91867884.75386742,1517746.4976183139,11933603.863022711,125502532.54045525,19.470192720634646,30031754.640133016,58444111.76547039,28057744.319224533,360298313.8194277,19712.401927332772,2500367.1851844145,14091975.3907932,5475134.8227722505,19319651.611576267,45889811.72282971,73687367.83236158,23445.984139972643,1290.8072494546716,2556429.5884945104,58656417.98612556,10053553.37436426,10597574.126023727,0.0,182359064.71446687,11811932.165150402,36696654.807967156,88638256.56066439,2109102.1609302224,26828873.52944044
3,2010-04-01,0.0,31472647.409578625,81959480.64704001,1011830.9984122092,16139903.838503988,102699170.60118504,19.470192720634646,31828628.67125385,51192009.351030424,26759442.5255329,328028357.01042837,21081.591692308695,2681845.4486252186,12030091.755267246,5553444.260046706,9888731.630569844,42305174.77614842,76949015.58719836,23445.984139972643,2405.6593122569207,3873378.164385622,56587127.79936946,8274198.15710034,10272210.00811949,0.0,188180722.39976683,10067351.398210844,38307058.893844314,87590712.2520248,1671658.7497743245,25090491.36395586
4,2010-05-01,0.0,27410622.35017096,84143317.42639999,1011830.9984122092,17652281.357778154,94126899.40534145,19.470192720634646,32854843.395693984,56634053.47054061,27104897.096368972,322669239.18321943,22444.230310083774,2681845.4486252186,12448849.5535849,5918888.300660824,12635601.527950354,43930640.7789979,78510540.9995707,23445.984139972643,3520.511375059171,4105780.8542487603,51811842.75300917,8655207.993909612,9830644.419535168,0.0,192606451.26679334,10371452.632814987,36867974.39157111,90463735.9188835,1315454.8292616648,24972072.9603125
5,2010-06-01,0.0,30790278.699123453,80541281.50534494,1011830.9984122092,19282813.37074562,99729691.03661175,19.470192720634646,32826892.021876547,56521295.74069254,27457944.075355288,347366067.97040766,30698.675783144357,2873405.837812734,14652091.641664635,5527341.114288553,12910288.51768841,42434350.882335134,75285852.42609178,23445.984139972643,4635.3634378614215,3795910.6010979125,53403604.43512926,10177283.37291573,8157343.241741949,0.0,206169168.76251957,11027671.086434452,37107821.808616646,90060726.24518435,2290328.7169805225,27534647.21515488
6,2010-07-01,0.0,31427585.324925937,81526165.99753852,505915.4992061046,18172161.130028646,100289970.19973885,19.470192720634646,33010572.478391115,58153315.51480954,27404797.218303595,332677778.41909343,18939.366557633453,2570942.065411394,16339087.343458593,5631753.697321157,20326837.240615796,41960705.15965051,78418143.04617587,23445.984139972643,5750.21550066367,7669288.765483531,46479441.11790682,8710199.104376929,8320025.300694063,0.0,154948098.82836735,10731572.515898842,32893360.051959347,86263729.18008862,2346571.4412719947,24105250.24564307
7,2010-08-01,0.0,33307317.999009997,81609030.95043123,505915.4992061046,19566384.155609522,105444538.5005075,19.470192720634646,31217691.500672773,57488638.37044191,28695506.60384499,326220754.1666159,4651.31451259763,2581024.191158106,15853416.92339918,5507763.754969941,17763092.003060646,43521583.10940664,78298025.70676258,23445.984139972643,4539.6438163134235,6274872.626304707,54597425.69671933,7726251.020658136,8575668.536190255,0.0,159310376.38547242,10723569.851830307,36696654.807967156,87110470.75932413,2349696.0370659665,24725762.680734307
8,2010-09-01,0.0,41399180.91450199,85775584.36306788,151774.6497618313,23914469.52352275,112111860.54171917,19.470192720634646,31405365.010589845,55031706.78322576,28236165.91075525,337390890.5319866,425.82456805471276,3135541.107227229,16493296.564426364,5331567.52110242,19411213.941488948,43446230.380797714,75553806.49093674,23445.984139972643,3026.429210875617,6972080.69589412,55313718.45367338,8376324.505111075,9179916.183726693,0.0,181343843.7557224,11023669.754400188,32105289.967381146,90371057.73608162,2340322.2496840544,31134566.685913138
9,2010-10-01,0.0,36287853.02675287,84112243.06906523,151774.6497618313,18951980.78840439,103931784.76006453,19.470192720634646,31413351.117394824,53280994.66190022,28786615.50164789,311471806.8017508,425.82456805471276,2288642.5445034755,16037315.850702701,5135793.927916285,9614044.640831793,41766941.00037045,70287123.14743252,23445.984139972643,907.9287632626848,2324026.898631374,53960721.023871265,8064053.556385947,9249637.066134745,0.0,182898400.8487997,9791259.487846557,3871822.5894493815,88163631.92752744,2390315.7823875844,26961502.141521007
