,date,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,西藏,贵州,辽宁,重庆,陕西,青海,黑龙江
0,2010-01-01,0.0,25931770.06288013,79288158.79917707,1491138.5929721657,20087364.188079648,73230269.34409161,21.771286966611278,42828055.5036615,176409245.37685207,22293541.249342795,283126954.9688969,17651.609720593475,996983.6913021822,14100731.191410126,7458538.832703807,15146718.214946548,32144364.128256522,173771704.50594592,31505.301828426134,205.693742515497,619757.9386111816,35125094.511531584,7771761.924096792,3130260.5951484633,0.0,172530514.6982228,45243695.48437451,59774072.519425206,83894684.57386862,3016216.568901617,59892863.50570636
1,2010-02-01,0.0,19757539.060716815,60410025.64531726,1152243.4586863783,15304658.402047709,55794490.83052712,19.792079045441753,32630899.37386861,134407043.85983676,16985555.207667578,215715774.83432698,16811.056873473543,759606.6206061655,10743414.222145509,5682696.243476249,11540356.714864362,24490944.054568548,132397488.91411558,24004.039446031846,178.86412387635934,472196.5238241732,26761976.723538686,5921342.407926621,2384960.4492443753,0.0,131451820.49084988,34471386.9749786,69736417.80981892,63919759.56270794,2298069.7627332043,45632657.82870923
2,2010-03-01,0.0,36794742.746835485,78305794.27418223,1174836.4674037972,11939192.657324187,88982593.22387497,19.792079045441753,38372332.632447876,170648314.4563144,20124206.426851787,305226880.5815672,20038.292518173457,1111312.2381460976,12977901.184278112,6995873.241697381,23659549.622647487,32381480.52352244,156009157.0842113,23833.599289683163,1312.1472129323308,2771884.404643593,42947995.76294426,8481970.120477714,5987954.276769367,0.0,189809403.36394432,46551715.81009107,87788439.96368384,84156282.14080441,2614535.913887395,61390360.809175216
3,2010-04-01,0.0,24078369.333326034,69860128.4612222,783224.3116025318,16147462.544460239,72814773.8300727,19.792079045441753,40668244.038457915,149473229.13283592,19193009.214298222,277889371.97960025,21430.11808690003,1191971.9973663788,11079024.601452224,7095933.407252046,12110101.228653695,29852033.41718114,162914640.7770923,23833.599289683163,2445.430301988302,4199824.855520595,41432869.725174144,6980765.797533236,5804113.575289606,0.0,195868906.7594355,39676191.38827545,91640967.20765504,83161706.68531209,2072261.7984144532,57412560.24120783
4,2010-05-01,0.0,20970688.611434285,71721574.10167772,783224.3116025318,17660548.346576583,66736944.91790623,19.792079045441753,41979464.552556984,165363207.23564264,19440783.911205754,273349392.8724878,22815.284203144656,1191971.9973663788,11464676.518660577,7562880.846507179,15474018.236613046,30999019.94287945,166220665.54790506,23833.599289683163,3578.7133910442735,4451814.346851832,37936425.02262783,7302215.729819357,5554615.480424214,0.0,200475450.21268386,40874677.29666533,88198283.28751059,85889456.52705105,1630695.7329579163,57141592.90006565
5,2010-06-01,0.0,23556318.372120745,68651292.41882358,783224.3116025318,19291843.976983253,70709382.11540064,19.792079045441753,41943750.37513016,165033971.04812533,19694004.205847498,294271322.62303454,31206.19433039576,1277112.8543211198,13493736.129623462,7062580.018733824,15810409.93740899,29943184.66425649,159393430.9620255,23833.599289683163,4711.996480100246,4115828.3584101843,39101906.59014328,8586358.500550015,4609149.015671159,0.0,214592276.92425048,43460883.73055929,88772063.940868,85506824.95101038,2839192.333154755,63005326.16238268
6,2010-07-01,0.0,24043894.269850206,69490782.33019108,391612.1558012659,18180671.59105407,71106625.83515011,19.792079045441753,42178443.54107785,169799231.65692773,19655885.021707892,281828131.4426467,19252.477125303914,1142679.9222873184,15047362.424662825,7195993.57280672,24892985.858899247,29608963.424980175,166025042.78040138,23833.599289683163,5845.279569156216,8315653.213930778,34032061.77145108,7348610.565407048,4701069.366411038,0.0,161278553.58898813,42293936.92502177,78689918.17473063,81901822.2276174,2908913.2908584205,55158111.96290478
7,2010-08-01,0.0,25481996.917698666,69561414.25963129,391612.1558012659,19575547.564880062,74761268.05684495,19.792079045441753,39887634.160414495,167858470.97261545,20581636.636527214,276358060.4075351,4728.211262181175,1147161.020021778,14600087.820154509,7037564.977345157,21753329.98480386,30710374.327140808,165770733.18264654,23833.599289683163,4614.694396702276,6803716.265943363,39976017.76577985,6518474.400070198,4845515.631859423,0.0,165819053.408498,42262397.82216939,87788439.96368384,82705748.50062259,2912786.677397512,56577980.83048987
8,2010-09-01,0.0,31672733.316142283,73112875.96179685,117483.64674037971,23925669.24596452,79488468.32186328,19.792079045441753,40127429.35170889,160684587.7288184,20252177.97360622,285820846.51477605,432.86441132644575,1393621.3954170821,15189380.273539556,6812429.604847148,23771680.189579476,30657202.76634684,159960736.98778626,23833.599289683163,3076.4629311348517,7559684.739937071,40500484.47116181,7066927.635053227,5186934.077464692,0.0,188752705.2241313,43445114.17913309,76804638.88512771,85801464.59667234,2901166.517780236,71242733.33310536
9,2010-10-01,0.0,27762276.116170734,71695087.12813763,117483.64674037971,18960856.4577703,73688710.01352146,19.792079045441753,40137633.40240227,155572762.71210304,20646983.809337985,263863482.93278265,432.86441132644575,1017209.1857224359,14769448.18591268,6562279.190960475,11773709.527857762,29472236.55436713,148810239.24007457,23833.599289683163,922.9388793404552,2519894.913312357,39509825.13877366,6803471.247251709,5226328.51349607,0.0,190370774.25072008,38588092.33986884,9262459.118483916,83705656.80038026,2963140.702405713,61693844.231254496
10,2010-11-01,0.0,33229036.181622133,74147339.42838989,117483.64674037971,19102708.25171871,80044609.52951252,19.792079045441753,39586614.66495985,160182069.33734468,20165048.409858517,288015041.28414434,432.86441132644575,1039614.6743947365,15613393.333835296,6203730.264389568,14016320.86649733,29092439.69155313,159647740.5597803,23833.599289683163,922.9388793404552,8987625.190814074,42248706.82243498,7313814.438716277,5554615.480424214,0.0,217894458.61116686,40890446.84809151,20902009.515162826,84933544.19248267,3761058.3294587554,75469823.85492356
11,2010-12-01,0.0,35400965.18059878,76445084.38299172,117483.64674037971,17376844.758679762,93868690.9767931,19.792079045441753,36617235.913186856,162781302.3966914,19222960.001836505,290931213.4893356,432.86441132644575,1026171.3811913562,16870332.9158477,4727842.8224581815,20407763.181620114,28446785.024769306,160488918.46004632,23833.599289683163,922.9388793404552,8483646.208151601,46036521.91686018,7819186.754939315,4228336.13403451,0.0,224036516.548831,40275434.342470415,10655926.419494774,88701198.6659696,6325240.218337948,77583369.11583266
