date,province,sector,value
2010-01-01,Anhui,life,2.371544322711129
2010-01-01,Anhui,a,0.8308145833333335
2010-01-01,Anhui,industry,4.145014657154679
2010-02-01,Anhui,life,2.371544322711129
2010-02-01,Anhui,a,0.8308145833333335
2010-02-01,Anhui,industry,3.7751605812465394
2010-03-01,Anhui,life,2.371544322711129
2010-03-01,Anhui,a,0.8308145833333335
2010-03-01,Anhui,industry,4.502741793484342
2010-04-01,Anhui,life,2.371544322711129
2010-04-01,Anhui,a,0.8308145833333335
2010-04-01,Anhui,industry,4.140381958542318
2010-05-01,Anhui,life,2.371544322711129
2010-05-01,Anhui,a,0.8308145833333335
2010-05-01,Anhui,industry,4.238617580421054
2010-06-01,Anhui,life,2.371544322711129
2010-06-01,Anhui,a,0.8308145833333335
2010-06-01,Anhui,industry,3.9033035721340643
2010-07-01,Anhui,life,2.371544322711129
2010-07-01,Anhui,a,0.8308145833333335
2010-07-01,Anhui,industry,3.770209329557487
2010-08-01,Anhui,life,2.371544322711129
2010-08-01,Anhui,a,0.8308145833333335
2010-08-01,Anhui,industry,3.6168078304180735
2010-09-01,Anhui,life,2.371544322711129
2010-09-01,Anhui,a,0.8308145833333335
2010-09-01,Anhui,industry,4.393805263195569
2010-10-01,Anhui,life,2.371544322711129
2010-10-01,Anhui,a,0.8308145833333335
2010-10-01,Anhui,industry,4.021956516316483
2010-11-01,Anhui,life,2.371544322711129
2010-11-01,Anhui,a,0.8308145833333335
2010-11-01,Anhui,industry,3.8507270103501825
2010-12-01,Anhui,life,2.371544322711129
2010-12-01,Anhui,a,0.8308145833333335
2010-12-01,Anhui,industry,4.359894957179206
2010-01-01,Beijing,life,1.7693417806195333
2010-01-01,Beijing,a,0.17019166666666669
2010-01-01,Beijing,industry,0.38085574891073737
2010-02-01,Beijing,life,1.7693417806195333
2010-02-01,Beijing,a,0.17019166666666669
2010-02-01,Beijing,industry,0.34637829813906434
2010-03-01,Beijing,life,1.7693417806195333
2010-03-01,Beijing,a,0.17019166666666669
2010-03-01,Beijing,industry,0.4011169408324981
2010-04-01,Beijing,life,1.7693417806195333
2010-04-01,Beijing,a,0.17019166666666669
2010-04-01,Beijing,industry,0.4032454538289288
2010-05-01,Beijing,life,1.7693417806195333
2010-05-01,Beijing,a,0.17019166666666669
2010-05-01,Beijing,industry,0.4262701214838775
2010-06-01,Beijing,life,1.7693417806195333
2010-06-01,Beijing,a,0.17019166666666669
2010-06-01,Beijing,industry,0.3942275107119492
2010-07-01,Beijing,life,1.7693417806195333
2010-07-01,Beijing,a,0.17019166666666669
2010-07-01,Beijing,industry,0.3866277775515207
2010-08-01,Beijing,life,1.7693417806195333
2010-08-01,Beijing,a,0.17019166666666669
2010-08-01,Beijing,industry,0.33568849639867354
2010-09-01,Beijing,life,1.7693417806195333
2010-09-01,Beijing,a,0.17019166666666669
2010-09-01,Beijing,industry,0.3268257892130865
2010-10-01,Beijing,life,1.7693417806195333
2010-10-01,Beijing,a,0.17019166666666669
2010-10-01,Beijing,industry,0.3197194352865411
2010-11-01,Beijing,life,1.7693417806195333
2010-11-01,Beijing,a,0.17019166666666669
2010-11-01,Beijing,industry,0.3383452043416362
2010-12-01,Beijing,life,1.7693417806195333
2010-12-01,Beijing,a,0.17019166666666669
2010-12-01,Beijing,industry,0.321522573301486
2010-01-01,Chongqing,life,1.3282967424181125
2010-01-01,Chongqing,a,0.2653270833333333
2010-01-01,Chongqing,industry,1.1606294165802682
2010-02-01,Chongqing,life,1.3282967424181125
2010-02-01,Chongqing,a,0.2653270833333333
2010-02-01,Chongqing,industry,1.0851784327378082
2010-03-01,Chongqing,life,1.3282967424181125
2010-03-01,Chongqing,a,0.2653270833333333
2010-03-01,Chongqing,industry,1.1696929611699327
2010-04-01,Chongqing,life,1.3282967424181125
2010-04-01,Chongqing,a,0.2653270833333333
2010-04-01,Chongqing,industry,1.2130474202265058
2010-05-01,Chongqing,life,1.3282967424181125
2010-05-01,Chongqing,a,0.2653270833333333
2010-05-01,Chongqing,industry,1.2598560352700783
2010-06-01,Chongqing,life,1.3282967424181125
2010-06-01,Chongqing,a,0.2653270833333333
2010-06-01,Chongqing,industry,1.2401281887547997
2010-07-01,Chongqing,life,1.3282967424181125
2010-07-01,Chongqing,a,0.2653270833333333
2010-07-01,Chongqing,industry,1.2134357432172624
2010-08-01,Chongqing,life,1.3282967424181125
2010-08-01,Chongqing,a,0.2653270833333333
2010-08-01,Chongqing,industry,1.2481428171869287
2010-09-01,Chongqing,life,1.3282967424181125
2010-09-01,Chongqing,a,0.2653270833333333
2010-09-01,Chongqing,industry,1.3131081152031452
2010-10-01,Chongqing,life,1.3282967424181125
2010-10-01,Chongqing,a,0.2653270833333333
2010-10-01,Chongqing,industry,1.3364824827283899
2010-11-01,Chongqing,life,1.3282967424181125
2010-11-01,Chongqing,a,0.2653270833333333
2010-11-01,Chongqing,industry,1.2174648582722802
2010-12-01,Chongqing,life,1.3282967424181125
2010-12-01,Chongqing,a,0.2653270833333333
2010-12-01,Chongqing,industry,1.2694390286525994
2010-01-01,Fujian,life,1.5973149571922522
2010-01-01,Fujian,a,0.46919583333333337
2010-01-01,Fujian,industry,9.055526780750228
2010-02-01,Fujian,life,1.5973149571922522
2010-02-01,Fujian,a,0.46919583333333337
2010-02-01,Fujian,industry,8.019877555392265
2010-03-01,Fujian,life,1.5973149571922522
2010-03-01,Fujian,a,0.46919583333333337
2010-03-01,Fujian,industry,10.39766975271823
2010-04-01,Fujian,life,1.5973149571922522
2010-04-01,Fujian,a,0.46919583333333337
2010-04-01,Fujian,industry,7.255245019904875
2010-05-01,Fujian,life,1.5973149571922522
2010-05-01,Fujian,a,0.46919583333333337
2010-05-01,Fujian,industry,6.070497959760678
2010-06-01,Fujian,life,1.5973149571922522
2010-06-01,Fujian,a,0.46919583333333337
2010-06-01,Fujian,industry,5.9147227891524565
2010-07-01,Fujian,life,1.5973149571922522
2010-07-01,Fujian,a,0.46919583333333337
2010-07-01,Fujian,industry,5.573755888064831
2010-08-01,Fujian,life,1.5973149571922522
2010-08-01,Fujian,a,0.46919583333333337
2010-08-01,Fujian,industry,12.02932302844393
2010-09-01,Fujian,life,1.5973149571922522
2010-09-01,Fujian,a,0.46919583333333337
2010-09-01,Fujian,industry,6.1174854266026895
2010-10-01,Fujian,life,1.5973149571922522
2010-10-01,Fujian,a,0.46919583333333337
2010-10-01,Fujian,industry,7.586259532338008
2010-11-01,Fujian,life,1.5973149571922522
2010-11-01,Fujian,a,0.46919583333333337
